Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2017
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";5
"110002 ARIQUEMES";104
"110003 CABIXI";1
"110004 CACOAL";51
"110005 CEREJEIRAS";25
"110006 COLORADO DO OESTE";6
"110007 CORUMBIARA";2
"110009 ESPIGAO D'OESTE";5
"110010 GUAJARA-MIRIM";4
"110011 JARU";26
"110012 JI-PARANA";66
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";4
"110015 OURO PRETO DO OESTE";9
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";414
"110025 PRESIDENTE MEDICI";6
"110028 ROLIM DE MOURA";5
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";38
"110037 ALTO ALEGRE DOS PARECIS";3
"110040 ALTO PARAISO";2
"110045 BURITIS";5
"110060 CACAULANDIA";10
"110070 CAMPO NOVO DE RONDONIA";2
"110080 CANDEIAS DO JAMARI";19
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";2
"110094 CUJUBIM";5
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";1
"110143 NOVA UNIAO";11
"110146 PIMENTEIRAS DO OESTE";10
"110147 PRIMAVERA DE RONDONIA";3
"110149 SAO FRANCISCO DO GUAPORE";5
"110150 SERINGUEIRAS";1
"110155 TEIXEIROPOLIS";1
"110170 URUPA";5
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";5
"120010 BRASILEIA";37
"120013 BUJARI";1
"120017 CAPIXABA";4
"120020 CRUZEIRO DO SUL";73
"120025 EPITACIOLANDIA";34
"120030 FEIJO";2
"120034 MANOEL URBANO";4
"120038 PLACIDO DE CASTRO";2
"120040 RIO BRANCO";174
"120042 RODRIGUES ALVES";2
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";4
"120050 SENA MADUREIRA";3
"120070 XAPURI";4
"120080 PORTO ACRE";7
"130002 ALVARAES";1
"130010 ANORI";2
"130030 AUTAZES";2
"130040 BARCELOS";9
"130063 BERURI";1
"130070 BOCA DO ACRE";1
"130080 BORBA";69
"130083 CAAPIRANGA";1
"130110 CAREIRO";1
"130115 CAREIRO DA VARZEA";1
"130120 COARI";4
"130130 CODAJAS";2
"130165 GUAJARA";1
"130170 HUMAITA";54
"130185 IRANDUBA";7
"130190 ITACOATIARA";2
"130230 JUTAI";1
"130240 LABREA";1
"130250 MANACAPURU";5
"130260 MANAUS";370
"130270 MANICORE";1
"130280 MARAA";1
"130290 MAUES";2
"130320 NOVO AIRAO";25
"130330 NOVO ARIPUANA";6
"130340 PARINTINS";5
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";15
"130380 SAO GABRIEL DA CACHOEIRA";1
"130410 TAPAUA";23
"140002 AMAJARI";30
"140005 ALTO ALEGRE";80
"140010 BOA VISTA";5018
"140015 BONFIM";99
"140017 CANTA";52
"140020 CARACARAI";65
"140023 CAROEBE";6
"140028 IRACEMA";55
"140030 MUCAJAI";509
"140040 NORMANDIA";3
"140045 PACARAIMA";16
"140047 RORAINOPOLIS";628
"140050 SAO JOAO DA BALIZA";8
"140060 SAO LUIZ";152
"140070 UIRAMUTA";37
"150010 ABAETETUBA";150
"150013 ABEL FIGUEIREDO";56
"150020 ACARA";5
"150030 AFUA";5
"150034 AGUA AZUL DO NORTE";53
"150040 ALENQUER";6
"150050 ALMEIRIM";2
"150060 ALTAMIRA";37
"150070 ANAJAS";4
"150080 ANANINDEUA";207
"150085 ANAPU";197
"150090 AUGUSTO CORREA";15
"150095 AURORA DO PARA";1
"150100 AVEIRO";1
"150110 BAGRE";1
"150120 BAIAO";1
"150130 BARCARENA";142
"150140 BELEM";1583
"150145 BELTERRA";3
"150150 BENEVIDES";67
"150157 BOM JESUS DO TOCANTINS";24
"150160 BONITO";1
"150170 BRAGANCA";166
"150172 BRASIL NOVO";3
"150178 BREU BRANCO";136
"150180 BREVES";8
"150190 BUJARU";2
"150210 CAMETA";36
"150215 CANAA DOS CARAJAS";289
"150220 CAPANEMA";23
"150230 CAPITAO POCO";21
"150240 CASTANHAL";79
"150250 CHAVES";1
"150260 COLARES";1
"150270 CONCEICAO DO ARAGUAIA";24
"150275 CONCORDIA DO PARA";1
"150276 CUMARU DO NORTE";3
"150277 CURIONOPOLIS";28
"150280 CURRALINHO";1
"150290 CURUCA";6
"150293 DOM ELISEU";39
"150295 ELDORADO DOS CARAJAS";126
"150304 FLORESTA DO ARAGUAIA";1
