DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2016
"Município de residência";"Casos_Prováveis"
" MUNICIPIO IGNORADO - RO";3
"110001 ALTA FLORESTA D'OESTE";485
"110002 ARIQUEMES";69
"110003 CABIXI";56
"110004 CACOAL";217
"110005 CEREJEIRAS";332
"110006 COLORADO DO OESTE";44
"110007 CORUMBIARA";23
"110008 COSTA MARQUES";47
"110009 ESPIGAO D'OESTE";521
"110010 GUAJARA-MIRIM";285
"110011 JARU";121
"110012 JI-PARANA";924
"110013 MACHADINHO D'OESTE";476
"110014 NOVA BRASILANDIA D'OESTE";344
"110015 OURO PRETO DO OESTE";111
"110018 PIMENTA BUENO";534
"110020 PORTO VELHO";856
"110025 PRESIDENTE MEDICI";110
"110026 RIO CRESPO";46
"110028 ROLIM DE MOURA";367
"110029 SANTA LUZIA D'OESTE";55
"110030 VILHENA";312
"110032 SAO MIGUEL DO GUAPORE";50
"110033 NOVA MAMORE";178
"110034 ALVORADA D'OESTE";84
"110037 ALTO ALEGRE DOS PARECIS";18
"110040 ALTO PARAISO";26
"110045 BURITIS";238
"110050 NOVO HORIZONTE DO OESTE";68
"110060 CACAULANDIA";14
"110070 CAMPO NOVO DE RONDONIA";21
"110080 CANDEIAS DO JAMARI";147
"110090 CASTANHEIRAS";29
"110092 CHUPINGUAIA";37
"110094 CUJUBIM";68
"110100 GOVERNADOR JORGE TEIXEIRA";16
"110110 ITAPUA DO OESTE";51
"110120 MINISTRO ANDREAZZA";31
"110130 MIRANTE DA SERRA";15
"110140 MONTE NEGRO";32
"110143 NOVA UNIAO";12
"110145 PARECIS";59
"110146 PIMENTEIRAS DO OESTE";45
"110147 PRIMAVERA DE RONDONIA";7
"110148 SAO FELIPE D'OESTE";49
"110149 SAO FRANCISCO DO GUAPORE";60
"110150 SERINGUEIRAS";75
"110155 TEIXEIROPOLIS";5
"110160 THEOBROMA";22
"110170 URUPA";26
"110175 VALE DO ANARI";22
"110180 VALE DO PARAISO";75
"120001 ACRELANDIA";4
"120005 ASSIS BRASIL";489
"120010 BRASILEIA";55
"120013 BUJARI";15
"120017 CAPIXABA";59
"120020 CRUZEIRO DO SUL";220
"120025 EPITACIOLANDIA";235
"120030 FEIJO";12
"120032 JORDAO";3
"120033 MANCIO LIMA";41
"120035 MARECHAL THAUMATURGO";15
"120038 PLACIDO DE CASTRO";43
"120039 PORTO WALTER";4
"120040 RIO BRANCO";612
"120042 RODRIGUES ALVES";33
"120045 SENADOR GUIOMARD";57
"120050 SENA MADUREIRA";31
"120060 TARAUACA";13
"120070 XAPURI";129
"120080 PORTO ACRE";125
"130002 ALVARAES";3
"130010 ANORI";2
"130014 APUI";11
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";25
