DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2021
"Município de residência";"Casos_Prováveis"
"110020 PORTO VELHO";1
"110028 ROLIM DE MOURA";1
"120010 BRASILEIA";1
"120020 CRUZEIRO DO SUL";3
"130140 EIRUNEPE";1
"130260 MANAUS";5
"130410 TAPAUA";1
"130420 TEFE";2
"140005 ALTO ALEGRE";1
"150020 ACARA";1
"150360 ITAITUBA";1
"170950 GURUPI";1
"171820 PORTO NACIONAL";1
"171870 RIO DOS BOIS";1
"172065 SILVANOPOLIS";1
"172100 PALMAS";2
"210770 PARAIBANO";1
"230160 ASSARE";1
"230370 CAUCAIA";2
"230428 EUSEBIO";1
"230440 FORTALEZA";5
"230523 HORIZONTE";3
"230600 IRACEMA";1
"230765 MARACANAU";2
"231110 PORTEIRAS";1
"231130 QUIXADA";1
"231290 SOBRAL";2
"231410 VICOSA DO CEARA";2
"240120 ARES";1
"250053 ALCANTIL";1
"250750 JOAO PESSOA";2
"251080 PATOS";1
"260640 GRAVATA";1
"261160 RECIFE";6
"270430 MACEIO";3
"270550 MURICI";1
"270630 PALMEIRA DOS INDIOS";1
"270800 SANTANA DO IPANEMA";1
"270860 SAO MIGUEL DOS CAMPOS";2
"270930 UNIAO DOS PALMARES";2
"280460 NOSSA SENHORA DAS DORES";1
"290620 CANARANA";1
"290650 CANDEIAS";1
"290840 CONCEICAO DO COITE";1
"291240 IBIPEBA";1
"291955 LUIS EDUARDO MAGALHAES";2
"292740 SALVADOR";1
"310670 BETIM";1
"311205 CANTAGALO";1
"311270 CAPITAO ENEAS";1
"311740 CONCEICAO DE IPANEMA";1
"311750 CONCEICAO DO MATO DENTRO";1
"314080 MATIAS BARBOSA";1
"315120 PIRAPORA";1
"330010 ANGRA DOS REIS";1
"330023 ARMACAO DOS BUZIOS";1
"330420 RESENDE";1
"330455 RIO DE JANEIRO";1
"350020 ADOLFO";1
"350110 ALTO ALEGRE";1
"350160 AMERICANA";1
"350280 ARACATUBA";1
"350400 ASSIS";1
"350570 BARUERI";1
"350600 BAURU";2
"350780 BRODOWSKI";1
"350800 BURI";2
"350810 BURITAMA";2
"350940 CAJURU";1
"350950 CAMPINAS";1
"351050 CARAGUATATUBA";1
"351350 CUBATAO";3
"351750 GUAPIACU";1
"351810 GUARANTA";2
"351870 GUARUJA";1
"352160 IRAPURU";1
"352210 ITANHAEM";1
"352480 JALES";1
"352570 JOSE BONIFACIO";1
"352810 MACAUBAL";1
"352900 MARILIA";2
"353390 OLIMPIA";1
"353410 ORIENTE";1
"353420 ORINDIUVA";1
"353500 PALESTINA";3
"353540 PANORAMA";2
"353730 PENAPOLIS";2
"353760 PERUIBE";1
"353870 PIRACICABA";1
"354070 PORTO FERREIRA";1
"354080 POTIRENDABA";1
"354100 PRAIA GRANDE";1
"354140 PRESIDENTE PRUDENTE";1
"354660 SANTA FE DO SUL";1
