DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2015
"Município de residência";"Casos_Prováveis"
"110015 OURO PRETO DO OESTE";3
"110020 PORTO VELHO";1
"120020 CRUZEIRO DO SUL";1
"130260 MANAUS";3
"150060 ALTAMIRA";1
"150140 BELEM";2
"150350 IRITUIA";1
"150619 RUROPOLIS";1
"160030 MACAPA";2
"170025 ABREULANDIA";1
"170220 ARAGUATINS";1
"170370 BREJINHO DE NAZARE";1
"170930 GUARAI";1
"171790 PONTE ALTA DO TOCANTINS";1
"172100 PALMAS";1
"210160 BARRA DO CORDA";1
"210530 IMPERATRIZ";2
"210540 ITAPECURU MIRIM";1
"210675 MIRANDA DO NORTE";1
"210800 PASTOS BONS";1
"210945 RAPOSA";1
"211130 SAO LUIS";6
"211290 VITORIA DO MEARIM";1
"221100 TERESINA";2
"230100 AQUIRAZ";2
"230110 ARACATI";2
"230125 ARARENDA";1
"230190 BARBALHA";1
"230220 BEBERIBE";3
"230370 CAUCAIA";5
"230420 CRATO";1
"230430 FARIAS BRITO";1
"230440 FORTALEZA";32
"230590 IPUEIRAS";1
"230625 ITAITINGA";1
"230650 ITAPIUNA";1
"230730 JUAZEIRO DO NORTE";1
"230760 LIMOEIRO DO NORTE";2
"230765 MARACANAU";6
"230840 MISSAO VELHA";1
"230970 PACATUBA";1
"231025 PARAIPABA";1
"231260 SAO LUIS DO CURU";1
"231290 SOBRAL";2
"231395 VARJOTA";1
"231400 VARZEA ALEGRE";2
"240770 MONTANHAS";1
"240810 NATAL";7
"240890 PARELHAS";1
"250060 ALHANDRA";1
"250070 SAO JOAO DO RIO DO PEIXE";1
"250415 CASSERENGUE";1
"250630 GUARABIRA";1
"250750 JOAO PESSOA";3
"260005 ABREU E LIMA";1
"260040 AGUA PRETA";1
"260105 ARACOIABA";1
"260120 ARCOVERDE";1
"260410 CARUARU";1
"260490 CUMARU";1
"260780 ITAQUITINGA";1
"260790 JABOATAO DOS GUARARAPES";5
"260880 LAJEDO";1
"260900 MACAPARANA";1
"260950 NAZARE DA MATA";1
"260960 OLINDA";1
"261070 PAULISTA";5
"261100 PETROLANDIA";1
"261160 RECIFE";10
"261240 SANHARO";1
"261250 SANTA CRUZ DO CAPIBARIBE";2
"261450 SURUBIM";1
"261550 TRACUNHAEM";1
"261600 VENTUROSA";1
"270030 ARAPIRACA";1
"270430 MACEIO";2
"270690 PILAR";1
"270720 POCO DAS TRINCHEIRAS";1
"270800 SANTANA DO IPANEMA";1
"280400 MARUIM";1
"280440 NEOPOLIS";1
"280480 NOSSA SENHORA DO SOCORRO";1
"290110 AMELIA RODRIGUES";1
"290210 ARACI";1
"290650 CANDEIAS";1
"290670 CANDIDO SALES";1
"291080 FEIRA DE SANTANA";3
"291800 JEQUIE";1
"292740 SALVADOR";5
"293070 SIMOES FILHO";1
"293300 VALENTE";1
"310400 ARAXA";2
"310420 ARCOS";3
"310620 BELO HORIZONTE";2
"310670 BETIM";3
"310740 BOM DESPACHO";1
"311090 CAMPANHA";1
"311260 CAPINOPOLIS";2
"311860 CONTAGEM";3
"311995 CORREGO FUNDO";1
"312090 CURVELO";1
"312230 DIVINOPOLIS";1
"312530 FARIA LEMOS";1
"312610 FORMIGA";1
"312700 FRONTEIRA";2
"312980 IBIRITE";1
"313030 IGUATAMA";2
"313240 ITAJUBA";1
"313380 ITAUNA";2
"313510 JANAUBA";1
"313630 JOAO PINHEIRO";1
"313670 JUIZ DE FORA";1
"313720 LAGOA DA PRATA";2
"313820 LAVRAS";2
"314070 MATEUS LEME";1
"314310 MONTE CARMELO";1
"314400 MUTUM";1
"314520 NOVA SERRANA";2
"314690 PAPAGAIOS";1
"314790 PASSOS";1
"314800 PATOS DE MINAS";1
"314860 PECANHA";1
"315070 PIRAJUBA";1
"315160 PLANURA";1
"315720 SANTA BARBARA";1
"315850 SANTANA DE PIRAPAMA";1
"315970 SANTA ROSA DA SERRA";1
"316500 SAO TIAGO";1
"316930 TRES CORACOES";2
"316940 TRES PONTAS";2
"316990 UBA";1
"317010 UBERABA";5
"317020 UBERLANDIA";9
"317040 UNAI";3
"317130 VICOSA";1
"320120 CACHOEIRO DE ITAPEMIRIM";3
"320130 CARIACICA";2
"320150 COLATINA";1
"320240 GUARAPARI";3
"320305 JAGUARE";2
"320320 LINHARES";3
"320335 MARILANDIA";1
"320410 PINHEIROS";1
"320500 SERRA";1
"320510 VIANA";1
"320520 VILA VELHA";7
"320530 VITORIA";4
"330040 BARRA MANSA";2
"330100 CAMPOS DOS GOYTACAZES";6
"330225 ITATIAIA";2
"330300 MIRACEMA";2
"330380 PARATY";3
"330400 PIRAI";1
"330411 PORTO REAL";2
"330412 QUATIS";1
"330420 RESENDE";9
"330455 RIO DE JANEIRO";2
"330630 VOLTA REDONDA";1
"350010 ADAMANTINA";2
"350030 AGUAI";1
"350050 AGUAS DE LINDOIA";1
"350160 AMERICANA";3
"350190 AMPARO";3
"350210 ANDRADINA";2
"350320 ARARAQUARA";9
"350330 ARARAS";2
"350370 ARIRANHA";1
"350380 ARTUR NOGUEIRA";1
"350400 ASSIS";1
"350460 BADY BASSITT";1
"350510 BARBOSA";2
"350570 BARUERI";4
"350600 BAURU";6
"350610 BEBEDOURO";2
"350650 BIRIGUI";7
"350700 BOITUVA";1
"350710 BOM JESUS DOS PERDOES";1
"350850 CACAPAVA";1
"350880 CAFELANDIA";1
"350950 CAMPINAS";22
"350960 CAMPO LIMPO PAULISTA";2
"351000 CANDIDO MOTA";1
"351040 CAPIVARI";1
"351050 CARAGUATATUBA";8
"351060 CARAPICUIBA";1
"351110 CATANDUVA";36
"351120 CATIGUA";1
"351130 CEDRAL";2
"351200 COLINA";1
"351210 COLOMBIA";1
"351230 CONCHAS";1
"351240 CORDEIROPOLIS";1
