Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2020
"Município de residência";"Todos_os_casos"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";3
"110002 ARIQUEMES";126
"110003 CABIXI";1
"110004 CACOAL";54
"110005 CEREJEIRAS";122
"110006 COLORADO DO OESTE";2
"110007 CORUMBIARA";3
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";2
"110010 GUAJARA-MIRIM";1
"110011 JARU";1
"110012 JI-PARANA";42
"110014 NOVA BRASILANDIA D'OESTE";9
"110015 OURO PRETO DO OESTE";18
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";138
"110025 PRESIDENTE MEDICI";65
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";1
"110029 SANTA LUZIA D'OESTE";4
"110030 VILHENA";279
"110033 NOVA MAMORE";4
"110037 ALTO ALEGRE DOS PARECIS";72
"110040 ALTO PARAISO";2
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";1
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110120 MINISTRO ANDREAZZA";1
"110147 PRIMAVERA DE RONDONIA";106
"110160 THEOBROMA";6
"110180 VALE DO PARAISO";6
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";2
"120013 BUJARI";1
"120017 CAPIXABA";2
"120020 CRUZEIRO DO SUL";90
"120025 EPITACIOLANDIA";4
"120030 FEIJO";1
"120033 MANCIO LIMA";8
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";3
"120040 RIO BRANCO";144
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";2
"120060 TARAUACA";3
"120070 XAPURI";1
"120080 PORTO ACRE";3
"130040 BARCELOS";2
"130060 BENJAMIN CONSTANT";2
"130070 BOCA DO ACRE";2
"130080 BORBA";3
"130090 CANUTAMA";1
"130120 COARI";1
"130140 EIRUNEPE";1
"130160 FONTE BOA";1
"130260 MANAUS";78
"130320 NOVO AIRAO";6
"130340 PARINTINS";13
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";17
"130356 RIO PRETO DA EVA";1
"130380 SAO GABRIEL DA CACHOEIRA";1
"130420 TEFE";1
"140002 AMAJARI";7
"140005 ALTO ALEGRE";2
"140010 BOA VISTA";76
"140015 BONFIM";10
"140017 CANTA";9
"140020 CARACARAI";1
"140028 IRACEMA";3
"140030 MUCAJAI";15
"140040 NORMANDIA";7
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";3
"140050 SAO JOAO DA BALIZA";18
"140060 SAO LUIZ";2
"150010 ABAETETUBA";25
"150020 ACARA";2
"150030 AFUA";1
"150060 ALTAMIRA";34
"150070 ANAJAS";1
"150080 ANANINDEUA";41
"150085 ANAPU";1
"150090 AUGUSTO CORREA";3
"150095 AURORA DO PARA";2
"150130 BARCARENA";38
"150140 BELEM";318
"150150 BENEVIDES";16
"150160 BONITO";2
"150170 BRAGANCA";41
"150178 BREU BRANCO";4
"150180 BREVES";5
"150210 CAMETA";60
"150215 CANAA DOS CARAJAS";4
"150220 CAPANEMA";26
"150230 CAPITAO POCO";2
"150240 CASTANHAL";265
"150270 CONCEICAO DO ARAGUAIA";1
"150276 CUMARU DO NORTE";1
"150280 CURRALINHO";2
"150290 CURUCA";7
"150293 DOM ELISEU";3
"150304 FLORESTA DO ARAGUAIA";1
"150309 GOIANESIA DO PARA";3
"150320 IGARAPE-ACU";33
"150330 IGARAPE-MIRI";7
"150340 INHANGAPI";18
"150345 IPIXUNA DO PARA";3
"150350 IRITUIA";2
"150380 JACUNDA";1
"150400 LIMOEIRO DO AJURU";4
"150405 MAE DO RIO";9
"150410 MAGALHAES BARATA";2
"150420 MARABA";3
"150430 MARACANA";1
"150442 MARITUBA";117
"150460 MOCAJUBA";38
"150470 MOJU";9
"150475 MOJUI DOS CAMPOS";4
"150480 MONTE ALEGRE";5
"150506 NOVO REPARTIMENTO";8
"150510 OBIDOS";1
"150543 OURILANDIA DO NORTE";1
"150548 PACAJA";2
"150550 PARAGOMINAS";8
"150553 PARAUAPEBAS";71
"150560 PEIXE-BOI";1
"150570 PONTA DE PEDRAS";4
"150580 PORTEL";1
"150600 PRAINHA";4
"150613 REDENCAO";14
"150616 RIO MARIA";1
"150619 RUROPOLIS";7
"150620 SALINOPOLIS";21
"150630 SALVATERRA";7
"150635 SANTA BARBARA DO PARA";5
"150650 SANTA IZABEL DO PARA";38
"150658 SANTA MARIA DAS BARREIRAS";1
"150660 SANTA MARIA DO PARA";3
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";517
"150690 SANTAREM NOVO";1
"150700 SANTO ANTONIO DO TAUA";1
"150720 SAO DOMINGOS DO CAPIM";14
"150730 SAO FELIX DO XINGU";2
"150740 SAO FRANCISCO DO PARA";15
"150745 SAO GERALDO DO ARAGUAIA";1
"150746 SAO JOAO DA PONTA";2
"150747 SAO JOAO DE PIRABAS";18
"150760 SAO MIGUEL DO GUAMA";2
"150795 TAILANDIA";3
"150796 TERRA ALTA";3
"150800 TOME-ACU";14
"150805 TRAIRAO";1
"150810 TUCURUI";9
"150815 URUARA";1
"150820 VIGIA";4
"150840 XINGUARA";1
"160015 PEDRA BRANCA DO AMAPARI";2
"160030 MACAPA";21
"160053 PORTO GRANDE";1
"160060 SANTANA";17
"170025 ABREULANDIA";1
"170030 AGUIARNOPOLIS";15
"170100 ANANAS";3
"170105 ANGICO";2
"170110 APARECIDA DO RIO NEGRO";3
"170130 ARAGOMINAS";10
"170200 ARAGUACU";1
"170210 ARAGUAINA";63
"170220 ARAGUATINS";4
"170230 ARAPOEMA";1
"170255 AUGUSTINOPOLIS";4
"170290 AXIXA DO TOCANTINS";1
"170300 BABACULANDIA";3
"170307 BARRA DO OURO";1
"170382 CACHOEIRINHA";1
"170386 CARIRI DO TOCANTINS";1
"170550 COLINAS DO TOCANTINS";24
"170560 CONCEICAO DO TOCANTINS";1
"170710 DIVINOPOLIS DO TOCANTINS";5
"170755 FATIMA";1
"170820 FORMOSO DO ARAGUAIA";1
"170825 FORTALEZA DO TABOCAO";2
"170930 GUARAI";22
"170950 GURUPI";8
"170980 IPUEIRAS";1
"171110 ITAPORA DO TOCANTINS";4
"171180 JUARINA";1
"171190 LAGOA DA CONFUSAO";2
"171195 LAGOA DO TOCANTINS";2
"171200 LAJEADO";1
"171240 LIZARDA";1
"171245 LUZINOPOLIS";1
"171250 MARIANOPOLIS DO TOCANTINS";2
"171320 MIRACEMA DO TOCANTINS";4
"171330 MIRANORTE";3
"171360 MONTE DO CARMO";3
"171370 MONTE SANTO DO TOCANTINS";1
"171430 NAZARE";1
"171488 NOVA OLINDA";2
"171500 NOVA ROSALANDIA";3
"171610 PARAISO DO TOCANTINS";9
"171660 PEIXE";6
"171790 PONTE ALTA DO TOCANTINS";1
"171820 PORTO NACIONAL";35
"171830 PRAIA NORTE";1
"171870 RIO DOS BOIS";1
"171880 SAMPAIO";1
"171890 SANTA ROSA DO TOCANTINS";1
"172000 SANTA TEREZINHA DO TOCANTINS";5
"172015 SAO FELIX DO TOCANTINS";1
"172030 SAO SEBASTIAO DO TOCANTINS";7
"172085 SUCUPIRA";1
"172093 TAIPAS DO TOCANTINS";1
"172100 PALMAS";127
"172110 TOCANTINIA";8
"172120 TOCANTINOPOLIS";8
"172208 WANDERLANDIA";3
"210005 ACAILANDIA";7
"210020 ALCANTARA";3
"210050 ALTO PARNAIBA";1
"210055 AMAPA DO MARANHAO";2
"210070 ANAJATUBA";1
"210125 BACABEIRA";2
"210140 BALSAS";35
"210160 BARRA DO CORDA";8
"210240 CAJAPIO";1
"210260 CANDIDO MENDES";1
"210270 CANTANHEDE";2
"210300 CAXIAS";7
"210315 CENTRO DO GUILHERME";1
"210320 CHAPADINHA";2
"210330 CODO";1
"210340 COELHO NETO";1
"210350 COLINAS";1
"210370 CURURUPU";10
"210400 ESPERANTINOPOLIS";1
"210405 ESTREITO";2
"210407 FEIRA NOVA DO MARANHAO";1
"210409 FORMOSA DA SERRA NEGRA";1
"210410 FORTALEZA DOS NOGUEIRAS";4
"210455 GOVERNADOR EDISON LOBAO";8
"210462 GOVERNADOR LUIZ ROCHA";2
"210467 GOVERNADOR NUNES FREIRE";2
"210480 GRAJAU";1
"210530 IMPERATRIZ";8
"210540 ITAPECURU MIRIM";4
"210570 LAGO DA PEDRA";5
"210598 LAJEADO NOVO";3
"210610 LORETO";1
"210632 MARACACUME";1
"210640 MATA ROMA";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";2
"210730 NOVA IORQUE";1
"210750 PACO DO LUMIAR";3
"210820 PEDREIRAS";1
"210845 PERITORO";1
"210860 PINHEIRO";2
"210880 PIRAPEMAS";2
"210920 PRESIDENTE JUSCELINO";1
"210923 PRESIDENTE MEDICI";1
"210945 RAPOSA";2
"210950 RIACHAO";1
"210960 ROSARIO";5
"210990 SANTA INES";8
"211010 SANTA QUITERIA DO MARANHAO";1
"211020 SANTA RITA";2
