Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2020
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";107
"110003 CABIXI";1
"110004 CACOAL";40
"110005 CEREJEIRAS";10
"110006 COLORADO DO OESTE";3
"110007 CORUMBIARA";1
"110009 ESPIGAO D'OESTE";2
"110011 JARU";1
"110012 JI-PARANA";27
"110014 NOVA BRASILANDIA D'OESTE";10
"110015 OURO PRETO DO OESTE";12
"110020 PORTO VELHO";104
"110025 PRESIDENTE MEDICI";49
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";6
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";157
"110037 ALTO ALEGRE DOS PARECIS";1
"110080 CANDEIAS DO JAMARI";1
"110120 MINISTRO ANDREAZZA";1
"110140 MONTE NEGRO";3
"110145 PARECIS";35
"110147 PRIMAVERA DE RONDONIA";5
"110160 THEOBROMA";3
"120005 ASSIS BRASIL";3
"120013 BUJARI";1
"120017 CAPIXABA";3
"120020 CRUZEIRO DO SUL";128
"120030 FEIJO";3
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";1
"120040 RIO BRANCO";139
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";2
"120045 SENADOR GUIOMARD";4
"120050 SENA MADUREIRA";1
"120060 TARAUACA";1
"120070 XAPURI";2
"120080 PORTO ACRE";9
"130070 BOCA DO ACRE";3
"130090 CANUTAMA";1
"130190 ITACOATIARA";2
"130260 MANAUS";117
"130310 NOVA OLINDA DO NORTE";1
"130320 NOVO AIRAO";5
"130340 PARINTINS";1
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";1
"130380 SAO GABRIEL DA CACHOEIRA";6
"130420 TEFE";1
"140002 AMAJARI";1
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";14
"140030 MUCAJAI";8
"140040 NORMANDIA";42
"140045 PACARAIMA";1
"140047 RORAINOPOLIS";1
"140060 SAO LUIZ";4
"150010 ABAETETUBA";2
"150020 ACARA";2
"150060 ALTAMIRA";1
"150080 ANANINDEUA";8
"150090 AUGUSTO CORREA";1
"150095 AURORA DO PARA";1
"150125 BANNACH";5
"150130 BARCARENA";2
"150140 BELEM";37
"150145 BELTERRA";3
"150150 BENEVIDES";5
"150170 BRAGANCA";1
"150210 CAMETA";30
"150220 CAPANEMA";1
"150240 CASTANHAL";1
"150270 CONCEICAO DO ARAGUAIA";8
"150293 DOM ELISEU";1
"150320 IGARAPE-ACU";1
"150345 IPIXUNA DO PARA";1
"150360 ITAITUBA";1
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";1
"150420 MARABA";1
"150442 MARITUBA";21
"150460 MOCAJUBA";26
"150475 MOJUI DOS CAMPOS";1
"150480 MONTE ALEGRE";10
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";1
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";8
"150600 PRAINHA";87
"150613 REDENCAO";3
"150616 RIO MARIA";1
"150619 RUROPOLIS";1
"150620 SALINOPOLIS";1
"150650 SANTA IZABEL DO PARA";18
"150660 SANTA MARIA DO PARA";2
"150680 SANTAREM";132
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";1
"150745 SAO GERALDO DO ARAGUAIA";1
"150795 TAILANDIA";1
"150810 TUCURUI";1
"150820 VIGIA";1
"160015 PEDRA BRANCA DO AMAPARI";2
"160030 MACAPA";22
"160053 PORTO GRANDE";1
"160060 SANTANA";6
"170025 ABREULANDIA";1
"170110 APARECIDA DO RIO NEGRO";2
"170130 ARAGOMINAS";2
"170210 ARAGUAINA";31
"170220 ARAGUATINS";3
"170255 AUGUSTINOPOLIS";4
"170290 AXIXA DO TOCANTINS";1
"170310 BARROLANDIA";1
"170389 CARRASCO BONITO";1
"170550 COLINAS DO TOCANTINS";15
"170560 CONCEICAO DO TOCANTINS";1
"170600 COUTO MAGALHAES";1
"170700 DIANOPOLIS";1
"170710 DIVINOPOLIS DO TOCANTINS";1
"170820 FORMOSO DO ARAGUAIA";1
"170930 GUARAI";13
"170950 GURUPI";26
"171110 ITAPORA DO TOCANTINS";3
"171190 LAGOA DA CONFUSAO";3
"171195 LAGOA DO TOCANTINS";1
"171215 LAVANDEIRA";1
"171240 LIZARDA";1
"171250 MARIANOPOLIS DO TOCANTINS";2
"171280 MAURILANDIA DO TOCANTINS";1
"171320 MIRACEMA DO TOCANTINS";2
"171330 MIRANORTE";3
"171360 MONTE DO CARMO";3
"171488 NOVA OLINDA";2
"171610 PARAISO DO TOCANTINS";12
"171790 PONTE ALTA DO TOCANTINS";1
"171820 PORTO NACIONAL";31
"171870 RIO DOS BOIS";1
"171880 SAMPAIO";1
"171890 SANTA ROSA DO TOCANTINS";1
"172100 PALMAS";112
"172110 TOCANTINIA";16
"172120 TOCANTINOPOLIS";14
"172125 TUPIRAMA";1
"172208 WANDERLANDIA";3
"172210 XAMBIOA";1
"210005 ACAILANDIA";2
"210020 ALCANTARA";3
"210055 AMAPA DO MARANHAO";2
"210140 BALSAS";31
"210160 BARRA DO CORDA";20
"210240 CAJAPIO";1
"210260 CANDIDO MENDES";1
"210300 CAXIAS";4
"210315 CENTRO DO GUILHERME";1
"210320 CHAPADINHA";2
"210330 CODO";1
"210340 COELHO NETO";2
"210350 COLINAS";1
"210467 GOVERNADOR NUNES FREIRE";1
"210540 ITAPECURU MIRIM";2
"210570 LAGO DA PEDRA";2
"210632 MARACACUME";1
"210640 MATA ROMA";1
"210650 MATINHA";1
"210675 MIRANDA DO NORTE";1
"210750 PACO DO LUMIAR";1
"210820 PEDREIRAS";1
"210845 PERITORO";2
"210860 PINHEIRO";1
"210880 PIRAPEMAS";1
"210920 PRESIDENTE JUSCELINO";1
"210923 PRESIDENTE MEDICI";1
"210945 RAPOSA";2
"210950 RIACHAO";1
"210960 ROSARIO";3
"210990 SANTA INES";2
"211010 SANTA QUITERIA DO MARANHAO";1
"211020 SANTA RITA";1
"211027 SANTO AMARO DO MARANHAO";1
"211040 SAO BENEDITO DO RIO PRETO";1
"211050 SAO BENTO";1
"211100 SAO JOAO BATISTA";1
"211102 SAO JOAO DO CARU";2
"211120 SAO JOSE DE RIBAMAR";11
"211130 SAO LUIS";64
"211210 TIMBIRAS";1
"211240 TURIACU";1
"211260 URBANO SANTOS";1
"211280 VIANA";1
"211400 ZE DOCA";1
"220040 ALTOS";1
"220202 BURITI DOS MONTES";2
"220217 CAMPO LARGO DO PIAUI";1
"220551 JUAZEIRO DO PIAUI";3
"220556 LAGOA DO BARRO DO PIAUI";1
"220700 OEIRAS";1
"220770 PARNAIBA";13
"220800 PICOS";1
"220830 PIRACURUCA";1
"221050 SAO PEDRO DO PIAUI";8
"221100 TERESINA";24
"230030 ACOPIARA";1
"230050 ALCANTARAS";1
