DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2023
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";1
"110005 CEREJEIRAS";1
"110011 JARU";1
"110015 OURO PRETO DO OESTE";1
"110020 PORTO VELHO";2
"110148 SAO FELIPE D'OESTE";1
"120020 CRUZEIRO DO SUL";1
"130002 ALVARAES";1
"130120 COARI";2
"130170 HUMAITA";1
"130230 JUTAI";3
"130260 MANAUS";3
"130420 TEFE";3
"150520 OEIRAS DO PARA";1
"170700 DIANOPOLIS";1
"172100 PALMAS";2
"172210 XAMBIOA";1
"210060 AMARANTE DO MARANHAO";1
"210270 CANTANHEDE";1
"210440 GONCALVES DIAS";1
"210540 ITAPECURU MIRIM";1
"211000 SANTA LUZIA";1
"211105 SAO JOAO DO PARAISO";1
"211110 SAO JOAO DOS PATOS";1
"211120 SAO JOSE DE RIBAMAR";1
"211130 SAO LUIS";2
"220115 BAIXA GRANDE DO RIBEIRO";3
"221063 SEBASTIAO LEAL";1
"230250 BREJO SANTO";1
"230370 CAUCAIA";1
"230440 FORTALEZA";2
"230690 JAGUARIBE";2
"230760 LIMOEIRO DO NORTE";1
"230970 PACATUBA";1
"240220 CANGUARETAMA";1
"240810 NATAL";2
"250153 BARAUNA";1
"250750 JOAO PESSOA";2
"251615 SOSSEGO";1
"251620 SOUSA";2
"260890 LIMOEIRO";1
"260940 MORENO";1
"261110 PETROLINA";1
"261160 RECIFE";1
"270040 ATALAIA";1
"270140 CAMPO ALEGRE";1
"270770 RIO LARGO";1
"280030 ARACAJU";3
"280170 CRISTINAPOLIS";1
"280210 ESTANCIA";1
"280220 FEIRA NOVA";1
"280530 PIRAMBU";1
"280560 PORTO DA FOLHA";1
"280570 PROPRIA";1
"280760 UMBAUBA";1
"290070 ALAGOINHAS";1
"290140 ANGICAL";1
"290400 BONINAL";1
"290460 BRUMADO";1
"290570 CAMACARI";1
"290590 CAMPO ALEGRE DE LOURDES";1
"291080 FEIRA DE SANTANA";6
"291440 IRAQUARA";2
"291480 ITABUNA";1
"291750 JACOBINA";1
"291790 JANDAIRA";1
"291800 JEQUIE";1
"291880 LAJE";1
"291920 LAURO DE FREITAS";1
"292145 MIRANTE";1
"292200 MUCURI";3
"292530 PORTO SEGURO";1
"292740 SALVADOR";9
"292930 SAO GONCALO DOS CAMPOS";1
"293330 VITORIA DA CONQUISTA";2
"310150 ALEM PARAIBA";1
"310190 ALPINOPOLIS";2
"310230 ALVINOPOLIS";1
"310350 ARAGUARI";1
"310390 ARAUJOS";1
"310620 BELO HORIZONTE";10
"310670 BETIM";1
"310710 BOA ESPERANCA";2
"310760 BOM JESUS DA PENHA";1
"310855 BRASILANDIA DE MINAS";1
"311110 CAMPINA VERDE";2
"311180 CANAPOLIS";1
"311260 CAPINOPOLIS";4
"311280 CAPITOLIO";2
"311340 CARATINGA";1
"311400 CARMO DA MATA";2
"311420 CARMO DO CAJURU";2
"311440 CARMO DO RIO CLARO";4
"311455 CARNEIRINHO";2
"311560 CEDRO DO ABAETE";1
"311660 CLAUDIO";1
"311730 CONCEICAO DAS ALAGOAS";1
"311820 CONQUISTA";1
"311830 CONSELHEIRO LAFAIETE";2
"311860 CONTAGEM";5
"311930 COROMANDEL";2
"312070 CRUZEIRO DA FORTALEZA";2
"312230 DIVINOPOLIS";10
"312410 ESMERALDAS";1
"312480 ESTRELA DO SUL";1
"312540 FELICIO DOS SANTOS";1
"312590 FERROS";1
"312610 FORMIGA";2
"312675 FRANCISCOPOLIS";1
"312735 GLAUCILANDIA";1
"312890 GUIMARANIA";1
"312980 IBIRITE";1
"313000 IBITURUNA";1
"313040 IJACI";1
"313080 INGAI";1
"313130 IPATINGA";2
"313220 ITAGUARA";1
"313250 ITAMARANDIBA";1
"313350 ITAPECERICA";1
"313375 ITAU DE MINAS";8
"313420 ITUIUTABA";5
"313440 ITURAMA";1
"313510 JANAUBA";1
"313550 JEQUERI";1
"313620 JOAO MONLEVADE";1
"313630 JOAO PINHEIRO";9
"313665 JUATUBA";2
"313670 JUIZ DE FORA";1
"313750 LAGOA FORMOSA";1
"313820 LAVRAS";3
"313920 MALACACHETA";1
"313940 MANHUACU";2
"314050 MARTINHO CAMPOS";1
"314070 MATEUS LEME";1
"314090 MATIPO";3
"314210 MIRADOURO";1
"314310 MONTE CARMELO";7
"314330 MONTES CLAROS";1
"314560 OLIVEIRA";4
"314700 PARACATU";3
"314710 PARA DE MINAS";1
"314740 PARAOPEBA";1
"314790 PASSOS";9
"314800 PATOS DE MINAS";8
"314810 PATROCINIO";2
"314880 PEDRA DO ANTA";1
"314930 PEDRO LEOPOLDO";1
"314980 PERDIZES";1
"314990 PERDOES";1
"315120 PIRAPORA";4
"315140 PITANGUI";1
"315150 PIUMHI";3
"315160 PLANURA";1
"315230 PORTO FIRME";1
"315280 PRATA";1
"315290 PRATAPOLIS";1
"315660 RUBIM";1
"315690 SACRAMENTO";1
"315790 SANTA MARGARIDA";1
"315895 SANTANA DO PARAISO";1
"315990 SANTO ANTONIO DO AMPARO";1
"316190 SAO GONCALO DO RIO ABAIXO";1
"316210 SAO GOTARDO";1
"316257 SAO JOAO DO MANTENINHA";1
