Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2023
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";15
"110002 ARIQUEMES";68
"110004 CACOAL";65
"110005 CEREJEIRAS";36
"110006 COLORADO DO OESTE";1
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";6
"110011 JARU";1
"110012 JI-PARANA";2
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";11
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";584
"110025 PRESIDENTE MEDICI";24
"110028 ROLIM DE MOURA";11
"110029 SANTA LUZIA D'OESTE";4
"110030 VILHENA";12
"110032 SAO MIGUEL DO GUAPORE";3
"110034 ALVORADA D'OESTE";5
"110040 ALTO PARAISO";8
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";5
"110070 CAMPO NOVO DE RONDONIA";5
"110080 CANDEIAS DO JAMARI";3
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";2
"110120 MINISTRO ANDREAZZA";2
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";1
"110145 PARECIS";23
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";62
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";4
"110155 TEIXEIROPOLIS";1
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";8
"120005 ASSIS BRASIL";5
"120010 BRASILEIA";6
"120013 BUJARI";4
"120017 CAPIXABA";6
"120020 CRUZEIRO DO SUL";7
"120025 EPITACIOLANDIA";2
"120030 FEIJO";6
"120032 JORDAO";1
"120033 MANCIO LIMA";2
"120038 PLACIDO DE CASTRO";5
"120040 RIO BRANCO";232
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";8
"120050 SENA MADUREIRA";4
"120060 TARAUACA";1
"120070 XAPURI";2
"120080 PORTO ACRE";4
"130002 ALVARAES";23
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";3
"130050 BARREIRINHA";2
"130060 BENJAMIN CONSTANT";1
"130063 BERURI";1
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";1
