Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2018
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";2
"110002 ARIQUEMES";3
"110004 CACOAL";10
"110006 COLORADO DO OESTE";3
"110009 ESPIGAO D'OESTE";6
"110012 JI-PARANA";92
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";3
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";62
"110025 PRESIDENTE MEDICI";1
"110028 ROLIM DE MOURA";2
"110030 VILHENA";51
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";1
"110037 ALTO ALEGRE DOS PARECIS";5
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";1
"110146 PIMENTEIRAS DO OESTE";18
"110150 SERINGUEIRAS";1
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";4
"120013 BUJARI";4
"120020 CRUZEIRO DO SUL";75
"120025 EPITACIOLANDIA";2
"120030 FEIJO";1
"120032 JORDAO";1
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";1
"120038 PLACIDO DE CASTRO";4
"120040 RIO BRANCO";168
"120042 RODRIGUES ALVES";1
"120045 SENADOR GUIOMARD";4
"120050 SENA MADUREIRA";3
"120060 TARAUACA";78
"120070 XAPURI";2
"120080 PORTO ACRE";2
"130030 AUTAZES";2
"130040 BARCELOS";1
"130070 BOCA DO ACRE";2
"130080 BORBA";4
"130090 CANUTAMA";1
"130120 COARI";1
"130150 ENVIRA";1
"130165 GUAJARA";1
"130170 HUMAITA";3
"130180 IPIXUNA";1
"130185 IRANDUBA";5
"130190 ITACOATIARA";26
"130240 LABREA";2
"130250 MANACAPURU";3
"130260 MANAUS";414
"130270 MANICORE";1
"130320 NOVO AIRAO";1
"130350 PAUINI";2
"130356 RIO PRETO DA EVA";1
"130380 SAO GABRIEL DA CACHOEIRA";2
"130406 TABATINGA";1
"130410 TAPAUA";4
"130420 TEFE";1
"140002 AMAJARI";2
"140005 ALTO ALEGRE";5
"140010 BOA VISTA";73
"140015 BONFIM";4
"140017 CANTA";1
"140020 CARACARAI";2
"140028 IRACEMA";9
"140030 MUCAJAI";11
"140040 NORMANDIA";3
"140045 PACARAIMA";7
"140047 RORAINOPOLIS";19
"140050 SAO JOAO DA BALIZA";1
"140060 SAO LUIZ";6
"140070 UIRAMUTA";4
"150010 ABAETETUBA";18
"150020 ACARA";4
"150030 AFUA";47
"150034 AGUA AZUL DO NORTE";1
"150040 ALENQUER";1
"150050 ALMEIRIM";2
"150060 ALTAMIRA";5
"150070 ANAJAS";2
"150080 ANANINDEUA";69
"150090 AUGUSTO CORREA";3
"150120 BAIAO";2
"150130 BARCARENA";5
"150140 BELEM";157
"150150 BENEVIDES";18
"150160 BONITO";9
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";8
"150215 CANAA DOS CARAJAS";3
"150220 CAPANEMA";5
"150230 CAPITAO POCO";4
"150240 CASTANHAL";67
"150250 CHAVES";2
"150270 CONCEICAO DO ARAGUAIA";9
"150275 CONCORDIA DO PARA";3
"150290 CURUCA";3
"150293 DOM ELISEU";63
"150307 GARRAFAO DO NORTE";1
"150310 GURUPA";1
"150320 IGARAPE-ACU";3
"150330 IGARAPE-MIRI";2
"150340 INHANGAPI";1
"150345 IPIXUNA DO PARA";17
"150350 IRITUIA";3
"150360 ITAITUBA";3
"150380 JACUNDA";1
"150405 MAE DO RIO";5
"150410 MAGALHAES BARATA";2
"150420 MARABA";1
"150430 MARACANA";1
"150440 MARAPANIM";2
"150442 MARITUBA";82
"150470 MOJU";10
"150480 MONTE ALEGRE";5
"150490 MUANA";1
"150495 NOVA ESPERANCA DO PIRIA";1
"150497 NOVA IPIXUNA";1
"150503 NOVO PROGRESSO";2
"150510 OBIDOS";1
"150520 OEIRAS DO PARA";1
"150540 OUREM";1
"150550 PARAGOMINAS";12
"150553 PARAUAPEBAS";1
"150555 PAU D'ARCO";1
"150580 PORTEL";1
"150613 REDENCAO";1
"150616 RIO MARIA";1
"150620 SALINOPOLIS";1
"150630 SALVATERRA";1
"150635 SANTA BARBARA DO PARA";1
"150650 SANTA IZABEL DO PARA";20
"150655 SANTA LUZIA DO PARA";1
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";5
"150690 SANTAREM NOVO";2
"150700 SANTO ANTONIO DO TAUA";7
"150720 SAO DOMINGOS DO CAPIM";2
"150740 SAO FRANCISCO DO PARA";13
"150747 SAO JOAO DE PIRABAS";2
"150760 SAO MIGUEL DO GUAMA";24
"150780 SENADOR JOSE PORFIRIO";1
"150795 TAILANDIA";24
"150810 TUCURUI";11
"150812 ULIANOPOLIS";14
"150820 VIGIA";3
"150840 XINGUARA";1
"160005 SERRA DO NAVIO";1
"160015 PEDRA BRANCA DO AMAPARI";15
"160023 FERREIRA GOMES";1
"160030 MACAPA";84
"160040 MAZAGAO";2
"160050 OIAPOQUE";2
"160053 PORTO GRANDE";5
"160060 SANTANA";15
"170025 ABREULANDIA";2
"170030 AGUIARNOPOLIS";1
"170100 ANANAS";2
"170110 APARECIDA DO RIO NEGRO";4
"170190 ARAGUACEMA";1
"170200 ARAGUACU";7
"170210 ARAGUAINA";58
"170215 ARAGUANA";2
"170220 ARAGUATINS";30
"170255 AUGUSTINOPOLIS";3
"170290 AXIXA DO TOCANTINS";2
"170300 BABACULANDIA";3
"170305 BANDEIRANTES DO TOCANTINS";4
"170307 BARRA DO OURO";4
"170310 BARROLANDIA";1
"170320 BERNARDO SAYAO";2
"170330 BOM JESUS DO TOCANTINS";8
"170380 BURITI DO TOCANTINS";1
"170386 CARIRI DO TOCANTINS";9
"170390 CASEARA";2
"170410 CENTENARIO";5
"170510 CHAPADA DA NATIVIDADE";1
