DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2014
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";29
"110002 ARIQUEMES";65
"110003 CABIXI";9
"110004 CACOAL";35
"110005 CEREJEIRAS";12
"110006 COLORADO DO OESTE";33
"110007 CORUMBIARA";11
"110008 COSTA MARQUES";119
"110009 ESPIGAO D'OESTE";19
"110010 GUAJARA-MIRIM";25
"110011 JARU";54
"110012 JI-PARANA";221
"110013 MACHADINHO D'OESTE";83
"110014 NOVA BRASILANDIA D'OESTE";23
"110015 OURO PRETO DO OESTE";49
"110018 PIMENTA BUENO";35
"110020 PORTO VELHO";296
"110025 PRESIDENTE MEDICI";27
"110026 RIO CRESPO";2
"110028 ROLIM DE MOURA";70
"110029 SANTA LUZIA D'OESTE";8
"110030 VILHENA";47
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";4
"110034 ALVORADA D'OESTE";25
"110037 ALTO ALEGRE DOS PARECIS";16
"110040 ALTO PARAISO";24
"110045 BURITIS";129
"110050 NOVO HORIZONTE DO OESTE";20
"110060 CACAULANDIA";7
"110070 CAMPO NOVO DE RONDONIA";226
"110080 CANDEIAS DO JAMARI";15
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";23
"110094 CUJUBIM";3
"110100 GOVERNADOR JORGE TEIXEIRA";3
"110110 ITAPUA DO OESTE";30
"110120 MINISTRO ANDREAZZA";3
"110130 MIRANTE DA SERRA";10
"110140 MONTE NEGRO";6
"110143 NOVA UNIAO";7
"110145 PARECIS";8
"110146 PIMENTEIRAS DO OESTE";2
"110147 PRIMAVERA DE RONDONIA";6
"110148 SAO FELIPE D'OESTE";53
"110149 SAO FRANCISCO DO GUAPORE";21
"110150 SERINGUEIRAS";27
"110160 THEOBROMA";8
"110170 URUPA";70
"110175 VALE DO ANARI";3
"110180 VALE DO PARAISO";2
"120001 ACRELANDIA";7
"120005 ASSIS BRASIL";21
"120010 BRASILEIA";16
"120013 BUJARI";30
