DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Evolução: Óbito pelo agravo notificado
Período:2014
"Município de residência";"Casos_Prováveis"
"110020 PORTO VELHO";1
"110145 PARECIS";1
"120020 CRUZEIRO DO SUL";2
"130190 ITACOATIARA";1
"130260 MANAUS";5
"130340 PARINTINS";1
"130406 TABATINGA";1
"140010 BOA VISTA";1
"150060 ALTAMIRA";1
"150080 ANANINDEUA";1
"150530 ORIXIMINA";1
"150795 TAILANDIA";1
"150835 VITORIA DO XINGU";1
"160027 LARANJAL DO JARI";1
"210530 IMPERATRIZ";1
"210675 MIRANDA DO NORTE";1
"210735 NOVA OLINDA DO MARANHAO";2
"210745 OLINDA NOVA DO MARANHAO";1
"211000 SANTA LUZIA";1
"211102 SAO JOAO DO CARU";1
"211120 SAO JOSE DE RIBAMAR";2
"211130 SAO LUIS";6
"220120 BARRAS";1
"220271 COCAL DE TELHA";1
"220553 JUREMA";1
"221100 TERESINA";2
"230100 AQUIRAZ";1
"230240 BOA VIAGEM";1
"230370 CAUCAIA";7
"230428 EUSEBIO";1
"230440 FORTALEZA";26
"230526 IBARETAMA";1
"230640 ITAPIPOCA";1
"230650 ITAPIUNA";1
"230670 JAGUARETAMA";1
"230700 JAGUARUANA";1
"230760 LIMOEIRO DO NORTE";2
"230765 MARACANAU";4
"230950 OROS";1
"230960 PACAJUS";2
"231010 PALMACIA";1
"231070 PENTECOSTE";2
"231130 QUIXADA";1
"231180 RUSSAS";1
"231200 SANTANA DO ACARAU";1
"231260 SAO LUIS DO CURU";1
"231350 TRAIRI";1
"231390 URUOCA";1
"240325 PARNAMIRIM";2
"240510 JANDAIRA";1
"240615 JUNDIA";1
"240650 LAGOA NOVA";1
"240710 MACAIBA";1
"240780 MONTE ALEGRE";2
"240810 NATAL";7
"240990 PENDENCIAS";1
"241030 SERRA CAIADA";1
"241150 SANTO ANTONIO";1
"241170 SAO BENTO DO TRAIRI";1
"241180 SAO FERNANDO";1
"241410 TENENTE ANANIAS";1
"241440 TOUROS";1
"250400 CAMPINA GRANDE";2
"250490 CRUZ DO ESPIRITO SANTO";1
"250510 CUITE";2
"250710 ITAPOROROCA";1
"250750 JOAO PESSOA";3
"251080 PATOS";1
"260280 BUIQUE";1
"260290 CABO DE SANTO AGOSTINHO";1
"260345 CAMARAGIBE";3
"260410 CARUARU";5
"260420 CATENDE";1
"260790 JABOATAO DOS GUARARAPES";9
"261050 PASSIRA";2
"261070 PAULISTA";1
"261160 RECIFE";7
"261180 RIBEIRAO";1
"261370 SAO LOURENCO DA MATA";1
"261450 SURUBIM";1
"261530 TIMBAUBA";1
"270430 MACEIO";2
"270540 MONTEIROPOLIS";1
"270860 SAO MIGUEL DOS CAMPOS";2
"280030 ARACAJU";1
"280540 POCO REDONDO";1
"280670 SAO CRISTOVAO";1
"280760 UMBAUBA";1
"290720 CASA NOVA";1
"291340 IGAPORA";1
"291955 LUIS EDUARDO MAGALHAES";1
"292230 MURITIBA";1
"292740 SALVADOR";10
"310390 ARAUJOS";1
"310400 ARAXA";1
"310620 BELO HORIZONTE";3
"311120 CAMPO BELO";1
