DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2022
"Município de residência";"Casos_Prováveis"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";397
"110002 ARIQUEMES";1109
"110003 CABIXI";25
"110004 CACOAL";2068
"110005 CEREJEIRAS";32
"110006 COLORADO DO OESTE";11
"110008 COSTA MARQUES";35
"110009 ESPIGAO D'OESTE";508
"110010 GUAJARA-MIRIM";85
"110011 JARU";1330
"110012 JI-PARANA";772
"110013 MACHADINHO D'OESTE";261
"110014 NOVA BRASILANDIA D'OESTE";686
"110015 OURO PRETO DO OESTE";46
"110018 PIMENTA BUENO";335
"110020 PORTO VELHO";1959
"110025 PRESIDENTE MEDICI";229
"110026 RIO CRESPO";26
"110028 ROLIM DE MOURA";279
"110029 SANTA LUZIA D'OESTE";104
"110030 VILHENA";1304
"110032 SAO MIGUEL DO GUAPORE";80
"110033 NOVA MAMORE";122
"110034 ALVORADA D'OESTE";196
"110037 ALTO ALEGRE DOS PARECIS";12
"110040 ALTO PARAISO";96
"110045 BURITIS";328
"110050 NOVO HORIZONTE DO OESTE";5
"110060 CACAULANDIA";58
"110070 CAMPO NOVO DE RONDONIA";70
"110080 CANDEIAS DO JAMARI";89
"110090 CASTANHEIRAS";41
"110092 CHUPINGUAIA";76
"110094 CUJUBIM";67
"110100 GOVERNADOR JORGE TEIXEIRA";151
"110110 ITAPUA DO OESTE";41
"110120 MINISTRO ANDREAZZA";58
"110130 MIRANTE DA SERRA";117
"110140 MONTE NEGRO";52
"110143 NOVA UNIAO";25
"110145 PARECIS";3
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";14
"110148 SAO FELIPE D'OESTE";105
"110149 SAO FRANCISCO DO GUAPORE";271
"110150 SERINGUEIRAS";350
"110155 TEIXEIROPOLIS";58
"110160 THEOBROMA";29
"110170 URUPA";44
"110175 VALE DO ANARI";36
"110180 VALE DO PARAISO";71
"120001 ACRELANDIA";8
"120005 ASSIS BRASIL";195
"120010 BRASILEIA";49
"120013 BUJARI";1
"120017 CAPIXABA";20
"120020 CRUZEIRO DO SUL";1485
"120025 EPITACIOLANDIA";57
"120030 FEIJO";304
"120032 JORDAO";1
"120033 MANCIO LIMA";143
"120034 MANOEL URBANO";19
"120035 MARECHAL THAUMATURGO";154
"120039 PORTO WALTER";157
"120040 RIO BRANCO";236
"120042 RODRIGUES ALVES";224
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";180
"120060 TARAUACA";126
"120070 XAPURI";41
"120080 PORTO ACRE";3
"130002 ALVARAES";220
"130006 AMATURA";4
"130020 ATALAIA DO NORTE";166
"130030 AUTAZES";1
"130040 BARCELOS";3
"130050 BARREIRINHA";1
"130060 BENJAMIN CONSTANT";1643
"130063 BERURI";2
"130070 BOCA DO ACRE";4
"130090 CANUTAMA";2
"130100 CARAUARI";5
"130120 COARI";94
"130130 CODAJAS";3
"130140 EIRUNEPE";1
"130150 ENVIRA";123
"130160 FONTE BOA";2
"130165 GUAJARA";117
"130170 HUMAITA";277
"130180 IPIXUNA";412
"130185 IRANDUBA";65
"130190 ITACOATIARA";20
"130210 JAPURA";178
"130220 JURUA";1
"130230 JUTAI";8
"130240 LABREA";82
"130250 MANACAPURU";17
"130255 MANAQUIRI";2
"130260 MANAUS";1188
"130270 MANICORE";190
"130280 MARAA";1
"130290 MAUES";3
"130320 NOVO AIRAO";8
"130340 PARINTINS";13
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";14
"130356 RIO PRETO DA EVA";42
"130360 SANTA ISABEL DO RIO NEGRO";4
"130370 SANTO ANTONIO DO ICA";104
"130380 SAO GABRIEL DA CACHOEIRA";4
"130390 SAO PAULO DE OLIVENCA";64
"130406 TABATINGA";136
"130410 TAPAUA";113
"130420 TEFE";40
"130423 TONANTINS";58
"130426 UARINI";4
"140002 AMAJARI";1
"140005 ALTO ALEGRE";5
"140010 BOA VISTA";39
"140015 BONFIM";1
"140017 CANTA";1
"140020 CARACARAI";1
"140023 CAROEBE";1
"140030 MUCAJAI";7
"140047 RORAINOPOLIS";3
"140050 SAO JOAO DA BALIZA";1
"150010 ABAETETUBA";8
"150020 ACARA";33
"150030 AFUA";154
"150034 AGUA AZUL DO NORTE";25
"150040 ALENQUER";24
"150060 ALTAMIRA";126
"150070 ANAJAS";73
"150080 ANANINDEUA";42
"150085 ANAPU";62
