Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2017
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";1
"110002 ARIQUEMES";38
"110004 CACOAL";18
"110005 CEREJEIRAS";10
"110006 COLORADO DO OESTE";3
"110007 CORUMBIARA";1
"110009 ESPIGAO D'OESTE";6
"110011 JARU";12
"110012 JI-PARANA";53
"110013 MACHADINHO D'OESTE";4
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";4
"110020 PORTO VELHO";248
"110029 SANTA LUZIA D'OESTE";1
"110030 VILHENA";70
"110037 ALTO ALEGRE DOS PARECIS";3
"110040 ALTO PARAISO";1
"110045 BURITIS";9
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";8
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";2
"110146 PIMENTEIRAS DO OESTE";10
"110149 SAO FRANCISCO DO GUAPORE";1
"110170 URUPA";2
"120001 ACRELANDIA";1
"120010 BRASILEIA";17
"120017 CAPIXABA";3
"120020 CRUZEIRO DO SUL";3
"120025 EPITACIOLANDIA";12
"120030 FEIJO";3
"120033 MANCIO LIMA";2
"120034 MANOEL URBANO";4
"120035 MARECHAL THAUMATURGO";1
"120040 RIO BRANCO";229
"120043 SANTA ROSA DO PURUS";1
"120050 SENA MADUREIRA";4
"120060 TARAUACA";2
"120070 XAPURI";7
"120080 PORTO ACRE";4
"130040 BARCELOS";5
"130060 BENJAMIN CONSTANT";1
"130080 BORBA";42
"130110 CAREIRO";2
"130120 COARI";5
"130170 HUMAITA";46
"130185 IRANDUBA";29
"130190 ITACOATIARA";1
"130250 MANACAPURU";2
"130260 MANAUS";505
"130290 MAUES";2
"130320 NOVO AIRAO";31
"130356 RIO PRETO DA EVA";2
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";1
"130410 TAPAUA";26
"130420 TEFE";1
"140002 AMAJARI";10
"140005 ALTO ALEGRE";11
"140010 BOA VISTA";597
"140015 BONFIM";16
"140017 CANTA";13
"140020 CARACARAI";4
"140023 CAROEBE";1
"140028 IRACEMA";21
"140030 MUCAJAI";139
"140040 NORMANDIA";4
