Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2022
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";6
"110002 ARIQUEMES";10
"110004 CACOAL";87
"110005 CEREJEIRAS";30
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";2
"110009 ESPIGAO D'OESTE";3
"110010 GUAJARA-MIRIM";3
"110011 JARU";1
"110012 JI-PARANA";119
"110014 NOVA BRASILANDIA D'OESTE";3
"110015 OURO PRETO DO OESTE";18
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";60
"110025 PRESIDENTE MEDICI";120
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";4
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";16
"110032 SAO MIGUEL DO GUAPORE";1
"110034 ALVORADA D'OESTE";4
"110080 CANDEIAS DO JAMARI";1
"110090 CASTANHEIRAS";1
"110092 CHUPINGUAIA";10
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110140 MONTE NEGRO";1
"110145 PARECIS";2
"110147 PRIMAVERA DE RONDONIA";19
"110149 SAO FRANCISCO DO GUAPORE";1
"110150 SERINGUEIRAS";2
"110155 TEIXEIROPOLIS";1
"110160 THEOBROMA";2
"110170 URUPA";2
"110175 VALE DO ANARI";1
"110180 VALE DO PARAISO";6
"120001 ACRELANDIA";1
"120020 CRUZEIRO DO SUL";86
"120030 FEIJO";3
"120032 JORDAO";2
"120033 MANCIO LIMA";86
"120035 MARECHAL THAUMATURGO";1
"120040 RIO BRANCO";34
"120042 RODRIGUES ALVES";2
"120045 SENADOR GUIOMARD";2
"120080 PORTO ACRE";1
"130002 ALVARAES";36
"130006 AMATURA";2
"130020 ATALAIA DO NORTE";6
"130050 BARREIRINHA";4
"130060 BENJAMIN CONSTANT";2
"130070 BOCA DO ACRE";1
"130080 BORBA";16
"130100 CARAUARI";95
"130110 CAREIRO";1
"130120 COARI";7
"130140 EIRUNEPE";1
"130165 GUAJARA";1
"130170 HUMAITA";3
"130180 IPIXUNA";1
"130185 IRANDUBA";24
"130190 ITACOATIARA";5
"130210 JAPURA";1
"130230 JUTAI";1
"130250 MANACAPURU";7
"130260 MANAUS";142
"130270 MANICORE";1
"130330 NOVO ARIPUANA";1
"130340 PARINTINS";74
"130350 PAUINI";2
"130353 PRESIDENTE FIGUEIREDO";13
"130356 RIO PRETO DA EVA";4
"130360 SANTA ISABEL DO RIO NEGRO";2
"130406 TABATINGA";11
"130410 TAPAUA";2
"130420 TEFE";17
"140002 AMAJARI";12
"140005 ALTO ALEGRE";193
"140010 BOA VISTA";141
"140017 CANTA";3
"140020 CARACARAI";6
"140023 CAROEBE";10
"140028 IRACEMA";1
"140030 MUCAJAI";12
"140040 NORMANDIA";2
"140045 PACARAIMA";16
"140047 RORAINOPOLIS";13
"140050 SAO JOAO DA BALIZA";37
"150010 ABAETETUBA";40
"150020 ACARA";4
"150030 AFUA";7
"150040 ALENQUER";1
"150060 ALTAMIRA";9
"150080 ANANINDEUA";41
"150090 AUGUSTO CORREA";3
"150095 AURORA DO PARA";2
"150110 BAGRE";1
"150120 BAIAO";2
"150130 BARCARENA";35
"150140 BELEM";278
"150145 BELTERRA";1
"150150 BENEVIDES";11
"150160 BONITO";3
"150170 BRAGANCA";7
"150180 BREVES";1
"150190 BUJARU";1
"150195 CACHOEIRA DO PIRIA";1
"150210 CAMETA";93
"150215 CANAA DOS CARAJAS";1
"150220 CAPANEMA";8
"150230 CAPITAO POCO";1
"150240 CASTANHAL";159
"150250 CHAVES";1
"150270 CONCEICAO DO ARAGUAIA";4
"150275 CONCORDIA DO PARA";1
"150290 CURUCA";11
"150293 DOM ELISEU";4
"150307 GARRAFAO DO NORTE";2
"150310 GURUPA";1
"150320 IGARAPE-ACU";37
"150330 IGARAPE-MIRI";11
"150340 INHANGAPI";13
"150350 IRITUIA";4
"150360 ITAITUBA";2
"150390 JURUTI";4
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";9
"150420 MARABA";27
"150430 MARACANA";1
"150440 MARAPANIM";1
"150442 MARITUBA";178
"150445 MEDICILANDIA";9
"150450 MELGACO";1
"150460 MOCAJUBA";10
"150470 MOJU";4
"150475 MOJUI DOS CAMPOS";2
"150480 MONTE ALEGRE";7
"150510 OBIDOS";50
"150520 OEIRAS DO PARA";2
"150540 OUREM";1
"150548 PACAJA";2
"150550 PARAGOMINAS";14
"150553 PARAUAPEBAS";12
"150565 PLACAS";1
"150570 PONTA DE PEDRAS";3
"150600 PRAINHA";10
"150619 RUROPOLIS";2
"150620 SALINOPOLIS";1
"150630 SALVATERRA";2
"150635 SANTA BARBARA DO PARA";7
"150650 SANTA IZABEL DO PARA";35
"150655 SANTA LUZIA DO PARA";10
"150658 SANTA MARIA DAS BARREIRAS";1
"150660 SANTA MARIA DO PARA";1
"150680 SANTAREM";338
"150690 SANTAREM NOVO";3
"150710 SAO CAETANO DE ODIVELAS";3
"150720 SAO DOMINGOS DO CAPIM";22
"150740 SAO FRANCISCO DO PARA";6
"150745 SAO GERALDO DO ARAGUAIA";1
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";7
"150750 SAO JOAO DO ARAGUAIA";2
"150760 SAO MIGUEL DO GUAMA";12
"150780 SENADOR JOSE PORFIRIO";1
"150795 TAILANDIA";10
"150796 TERRA ALTA";2
"150800 TOME-ACU";11
"150808 TUCUMA";1
"150810 TUCURUI";2
"150812 ULIANOPOLIS";5
"150835 VITORIA DO XINGU";1
"150840 XINGUARA";2
"160015 PEDRA BRANCA DO AMAPARI";1
"160025 ITAUBAL";1
"160027 LARANJAL DO JARI";3
"160030 MACAPA";38
"160040 MAZAGAO";4
"160050 OIAPOQUE";72
"160053 PORTO GRANDE";3
"160060 SANTANA";46
"170025 ABREULANDIA";12
"170030 AGUIARNOPOLIS";192
"170040 ALMAS";1
"170100 ANANAS";6
"170105 ANGICO";3
"170110 APARECIDA DO RIO NEGRO";19
"170130 ARAGOMINAS";19
"170190 ARAGUACEMA";1
"170200 ARAGUACU";6
