Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2021
"Município de residência";"Todos_os_casos"
"110002 ARIQUEMES";7
"110003 CABIXI";1
"110004 CACOAL";17
"110006 COLORADO DO OESTE";5
"110011 JARU";2
"110012 JI-PARANA";43
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";1
"110020 PORTO VELHO";47
"110025 PRESIDENTE MEDICI";87
"110028 ROLIM DE MOURA";2
"110030 VILHENA";12
"110145 PARECIS";65
"110149 SAO FRANCISCO DO GUAPORE";1
"110160 THEOBROMA";1
"110170 URUPA";2
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";2
"120013 BUJARI";3
"120020 CRUZEIRO DO SUL";297
"120025 EPITACIOLANDIA";3
"120030 FEIJO";15
"120032 JORDAO";1
"120033 MANCIO LIMA";123
"120034 MANOEL URBANO";3
"120038 PLACIDO DE CASTRO";4
"120040 RIO BRANCO";91
"120042 RODRIGUES ALVES";15
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";3
"120060 TARAUACA";47
"120070 XAPURI";6
"120080 PORTO ACRE";1
"130002 ALVARAES";1
"130008 ANAMA";1
"130040 BARCELOS";1
"130063 BERURI";5
"130070 BOCA DO ACRE";1
"130080 BORBA";2
"130110 CAREIRO";1
"130120 COARI";2
"130130 CODAJAS";1
"130140 EIRUNEPE";2
"130150 ENVIRA";1
"130165 GUAJARA";1
"130170 HUMAITA";2
"130185 IRANDUBA";3
"130190 ITACOATIARA";7
"130220 JURUA";2
"130250 MANACAPURU";2
"130260 MANAUS";144
"130320 NOVO AIRAO";14
"130340 PARINTINS";2
"130353 PRESIDENTE FIGUEIREDO";3
"130390 SAO PAULO DE OLIVENCA";2
"130410 TAPAUA";1
"130420 TEFE";27
"140005 ALTO ALEGRE";3
"140010 BOA VISTA";58
"140015 BONFIM";1
"140023 CAROEBE";4
"140030 MUCAJAI";2
"140040 NORMANDIA";1
"140047 RORAINOPOLIS";8
"140050 SAO JOAO DA BALIZA";117
"150010 ABAETETUBA";2
"150030 AFUA";1
"150040 ALENQUER";1
"150080 ANANINDEUA";13
"150130 BARCARENA";2
"150140 BELEM";38
"150145 BELTERRA";1
"150150 BENEVIDES";2
"150180 BREVES";1
"150210 CAMETA";7
"150240 CASTANHAL";1
"150270 CONCEICAO DO ARAGUAIA";6
"150280 CURRALINHO";1
"150309 GOIANESIA DO PARA";1
"150330 IGARAPE-MIRI";1
"150345 IPIXUNA DO PARA";1
"150360 ITAITUBA";2
"150375 JACAREACANGA";1
"150442 MARITUBA";4
"150460 MOCAJUBA";13
"150480 MONTE ALEGRE";1
"150510 OBIDOS";1
"150548 PACAJA";1
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";4
"150570 PONTA DE PEDRAS";2
"150600 PRAINHA";21
"150613 REDENCAO";2
"150620 SALINOPOLIS";1
"150650 SANTA IZABEL DO PARA";16
"150670 SANTANA DO ARAGUAIA";2
"150680 SANTAREM";91
"150740 SAO FRANCISCO DO PARA";3
"150760 SAO MIGUEL DO GUAMA";1
"150795 TAILANDIA";1
"150796 TERRA ALTA";2
"150800 TOME-ACU";1
"150820 VIGIA";1
"150840 XINGUARA";2
"160015 PEDRA BRANCA DO AMAPARI";1
"160027 LARANJAL DO JARI";1
"160030 MACAPA";70
"160040 MAZAGAO";28
"160050 OIAPOQUE";1
"160055 PRACUUBA";1
"160060 SANTANA";12
"170030 AGUIARNOPOLIS";2
"170100 ANANAS";2
"170130 ARAGOMINAS";1
"170210 ARAGUAINA";80
"170220 ARAGUATINS";1
"170230 ARAPOEMA";3
"170255 AUGUSTINOPOLIS";3
"170270 AURORA DO TOCANTINS";1
"170307 BARRA DO OURO";2
"170310 BARROLANDIA";1
"170550 COLINAS DO TOCANTINS";83
"170555 COMBINADO";2
"170600 COUTO MAGALHAES";2
"170650 DARCINOPOLIS";2
"170700 DIANOPOLIS";1
"170720 DOIS IRMAOS DO TOCANTINS";2
"170765 FIGUEIROPOLIS";1
"170825 FORTALEZA DO TABOCAO";2
"170900 GOIATINS";3
"170930 GUARAI";41
"170950 GURUPI";9
"171110 ITAPORA DO TOCANTINS";8
"171190 LAGOA DA CONFUSAO";1
"171320 MIRACEMA DO TOCANTINS";5
"171360 MONTE DO CARMO";1
"171370 MONTE SANTO DO TOCANTINS";1
"171488 NOVA OLINDA";1
"171515 NOVO ALEGRE";61
"171610 PARAISO DO TOCANTINS";24
"171660 PEIXE";3
"171670 COLMEIA";1
"171780 PONTE ALTA DO BOM JESUS";1
"171800 PORTO ALEGRE DO TOCANTINS";1
"171820 PORTO NACIONAL";63
"171840 PRESIDENTE KENNEDY";1
"171855 RIACHINHO";1
"171875 RIO SONO";1
"171884 SANDOLANDIA";1
"172065 SILVANOPOLIS";1
"172090 TAGUATINGA";41
"172100 PALMAS";307
"172110 TOCANTINIA";7
"172120 TOCANTINOPOLIS";5
"172208 WANDERLANDIA";8
"210043 ALTO ALEGRE DO MARANHAO";1
"210047 ALTO ALEGRE DO PINDARE";2
"210055 AMAPA DO MARANHAO";1
"210095 ARAME";1
"210100 ARARI";1
"210120 BACABAL";2
"210125 BACABEIRA";3
"210140 BALSAS";9
"210170 BARREIRINHAS";1
"210173 BELAGUA";1
"210190 BEQUIMAO";2
"210270 CANTANHEDE";2
"210300 CAXIAS";2
"210315 CENTRO DO GUILHERME";1
"210320 CHAPADINHA";3
"210360 COROATA";1
"210400 ESPERANTINOPOLIS";1
"210480 GRAJAU";1
"210510 ICATU";1
"210530 IMPERATRIZ";1
"210745 OLINDA NOVA DO MARANHAO";1
"210750 PACO DO LUMIAR";1
"210770 PARAIBANO";2
"210820 PEDREIRAS";4
"210830 PENALVA";1
