DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2021
"Município de residência";"Casos_Prováveis"
"110001 ALTA FLORESTA D'OESTE";4
"110002 ARIQUEMES";55
"110003 CABIXI";1
"110004 CACOAL";208
"110005 CEREJEIRAS";5
"110006 COLORADO DO OESTE";8
"110007 CORUMBIARA";2
"110008 COSTA MARQUES";31
"110009 ESPIGAO D'OESTE";24
"110010 GUAJARA-MIRIM";75
"110011 JARU";38
"110012 JI-PARANA";81
"110013 MACHADINHO D'OESTE";18
"110014 NOVA BRASILANDIA D'OESTE";39
"110015 OURO PRETO DO OESTE";8
"110018 PIMENTA BUENO";51
"110020 PORTO VELHO";208
"110025 PRESIDENTE MEDICI";41
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";18
"110029 SANTA LUZIA D'OESTE";11
"110030 VILHENA";103
"110032 SAO MIGUEL DO GUAPORE";40
"110033 NOVA MAMORE";13
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";4
"110040 ALTO PARAISO";28
"110045 BURITIS";230
"110050 NOVO HORIZONTE DO OESTE";14
"110060 CACAULANDIA";6
"110070 CAMPO NOVO DE RONDONIA";82
"110080 CANDEIAS DO JAMARI";15
"110090 CASTANHEIRAS";36
"110092 CHUPINGUAIA";96
"110094 CUJUBIM";9
"110100 GOVERNADOR JORGE TEIXEIRA";2
"110110 ITAPUA DO OESTE";59
"110120 MINISTRO ANDREAZZA";36
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";292
"110143 NOVA UNIAO";2
"110145 PARECIS";71
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";34
"110148 SAO FELIPE D'OESTE";5
"110149 SAO FRANCISCO DO GUAPORE";63
"110150 SERINGUEIRAS";107
"110155 TEIXEIROPOLIS";9
"110160 THEOBROMA";3
"110170 URUPA";26
"110175 VALE DO ANARI";2
"110180 VALE DO PARAISO";1
"120001 ACRELANDIA";174
"120005 ASSIS BRASIL";480
"120010 BRASILEIA";328
"120013 BUJARI";107
"120017 CAPIXABA";98
"120020 CRUZEIRO DO SUL";1123
"120025 EPITACIOLANDIA";244
"120030 FEIJO";590
"120032 JORDAO";2
"120033 MANCIO LIMA";254
"120034 MANOEL URBANO";227
"120035 MARECHAL THAUMATURGO";518
"120038 PLACIDO DE CASTRO";46
"120039 PORTO WALTER";12
"120040 RIO BRANCO";5492
"120042 RODRIGUES ALVES";497
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";29
"120050 SENA MADUREIRA";646
"120060 TARAUACA";3038
"120070 XAPURI";887
"120080 PORTO ACRE";169
"130002 ALVARAES";23
"130006 AMATURA";3
"130010 ANORI";2
"130014 APUI";2
"130020 ATALAIA DO NORTE";3
"130030 AUTAZES";4
"130040 BARCELOS";5
"130060 BENJAMIN CONSTANT";84
"130063 BERURI";17
"130068 BOA VISTA DO RAMOS";1
"130070 BOCA DO ACRE";137
"130080 BORBA";25
"130083 CAAPIRANGA";1
"130100 CARAUARI";40
"130110 CAREIRO";2
"130115 CAREIRO DA VARZEA";1
"130120 COARI";8
"130130 CODAJAS";19
"130140 EIRUNEPE";110
"130150 ENVIRA";131
"130160 FONTE BOA";3
"130165 GUAJARA";56
"130170 HUMAITA";211
"130180 IPIXUNA";152
"130185 IRANDUBA";321
"130190 ITACOATIARA";12
"130200 ITAPIRANGA";1
"130210 JAPURA";4
"130220 JURUA";1
"130230 JUTAI";223
"130240 LABREA";338
"130250 MANACAPURU";178
"130255 MANAQUIRI";1
"130260 MANAUS";3943
"130270 MANICORE";487
"130280 MARAA";3
"130290 MAUES";6
"130310 NOVA OLINDA DO NORTE";3
"130320 NOVO AIRAO";17
"130330 NOVO ARIPUANA";5
"130340 PARINTINS";33
"130350 PAUINI";4
"130353 PRESIDENTE FIGUEIREDO";47
"130356 RIO PRETO DA EVA";13
"130360 SANTA ISABEL DO RIO NEGRO";16
"130370 SANTO ANTONIO DO ICA";80
"130380 SAO GABRIEL DA CACHOEIRA";24
"130390 SAO PAULO DE OLIVENCA";130
"130395 SAO SEBASTIAO DO UATUMA";26
"130400 SILVES";1
"130406 TABATINGA";146
"130410 TAPAUA";942
"130420 TEFE";255
"130423 TONANTINS";22
"130426 UARINI";2
"130440 URUCURITUBA";2
"140005 ALTO ALEGRE";8
"140010 BOA VISTA";45
"140015 BONFIM";5
"140020 CARACARAI";7
"140023 CAROEBE";12
"140028 IRACEMA";3
"140030 MUCAJAI";7
"140047 RORAINOPOLIS";18
"140050 SAO JOAO DA BALIZA";10
"140060 SAO LUIZ";1
