DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência
Período:2015
"Município de residência";"Casos_Prováveis"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";99
"110002 ARIQUEMES";23
"110003 CABIXI";130
"110004 CACOAL";46
"110005 CEREJEIRAS";45
"110006 COLORADO DO OESTE";15
"110007 CORUMBIARA";19
"110008 COSTA MARQUES";18
"110009 ESPIGAO D'OESTE";281
"110010 GUAJARA-MIRIM";14
"110011 JARU";22
"110012 JI-PARANA";35
"110013 MACHADINHO D'OESTE";21
"110014 NOVA BRASILANDIA D'OESTE";3
"110015 OURO PRETO DO OESTE";50
"110018 PIMENTA BUENO";75
"110020 PORTO VELHO";194
"110025 PRESIDENTE MEDICI";14
"110026 RIO CRESPO";3
"110028 ROLIM DE MOURA";32
"110029 SANTA LUZIA D'OESTE";7
"110030 VILHENA";323
"110032 SAO MIGUEL DO GUAPORE";17
"110033 NOVA MAMORE";19
"110034 ALVORADA D'OESTE";36
"110037 ALTO ALEGRE DOS PARECIS";15
"110040 ALTO PARAISO";4
"110045 BURITIS";165
"110050 NOVO HORIZONTE DO OESTE";11
"110060 CACAULANDIA";14
"110070 CAMPO NOVO DE RONDONIA";33
"110080 CANDEIAS DO JAMARI";47
"110090 CASTANHEIRAS";3
"110092 CHUPINGUAIA";52
"110094 CUJUBIM";4
"110100 GOVERNADOR JORGE TEIXEIRA";3
"110110 ITAPUA DO OESTE";6
"110120 MINISTRO ANDREAZZA";79
"110140 MONTE NEGRO";17
"110143 NOVA UNIAO";9
"110145 PARECIS";128
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";13
"110149 SAO FRANCISCO DO GUAPORE";33
"110150 SERINGUEIRAS";12
"110155 TEIXEIROPOLIS";3
"110160 THEOBROMA";3
"110170 URUPA";41
"110175 VALE DO ANARI";5
"110180 VALE DO PARAISO";2
"120001 ACRELANDIA";11
"120005 ASSIS BRASIL";6
"120010 BRASILEIA";3
"120013 BUJARI";29
