Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2025
"Município de residência";"Todos_os_casos"
"110002 ARIQUEMES";110
"110004 CACOAL";28
"110005 CEREJEIRAS";234
"110006 COLORADO DO OESTE";1
"110007 CORUMBIARA";5
"110008 COSTA MARQUES";1
"110009 ESPIGAO D'OESTE";2
"110010 GUAJARA-MIRIM";1
"110012 JI-PARANA";27
"110013 MACHADINHO D'OESTE";1
"110020 PORTO VELHO";423
"110025 PRESIDENTE MEDICI";1
"110028 ROLIM DE MOURA";2
"110030 VILHENA";3
"110032 SAO MIGUEL DO GUAPORE";1
"110033 NOVA MAMORE";31
"110034 ALVORADA D'OESTE";3
"110037 ALTO ALEGRE DOS PARECIS";1
"110040 ALTO PARAISO";82
"110045 BURITIS";1
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";16
"110080 CANDEIAS DO JAMARI";8
"110092 CHUPINGUAIA";1
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110143 NOVA UNIAO";2
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";1
"110160 THEOBROMA";1
"110175 VALE DO ANARI";2
"120001 ACRELANDIA";1
"120013 BUJARI";2
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";151
"120025 EPITACIOLANDIA";3
"120030 FEIJO";3
"120032 JORDAO";1
"120033 MANCIO LIMA";4
"120034 MANOEL URBANO";2
"120035 MARECHAL THAUMATURGO";3
"120038 PLACIDO DE CASTRO";1
"120039 PORTO WALTER";18
"120040 RIO BRANCO";770
"120042 RODRIGUES ALVES";3
"120050 SENA MADUREIRA";2
"120060 TARAUACA";13
"120080 PORTO ACRE";8
"130010 ANORI";1
"130020 ATALAIA DO NORTE";1
"130030 AUTAZES";1
"130063 BERURI";1
"130070 BOCA DO ACRE";4
"130080 BORBA";1
"130090 CANUTAMA";3
"130120 COARI";5
"130130 CODAJAS";1
"130140 EIRUNEPE";1
"130165 GUAJARA";5
"130170 HUMAITA";69
"130180 IPIXUNA";4
"130185 IRANDUBA";5
"130250 MANACAPURU";2
"130260 MANAUS";44
"130390 SAO PAULO DE OLIVENCA";1
"130406 TABATINGA";15
"130420 TEFE";1
"140010 BOA VISTA";17
"140017 CANTA";4
"140020 CARACARAI";3
"140030 MUCAJAI";3
"140040 NORMANDIA";1
"140047 RORAINOPOLIS";9
"150010 ABAETETUBA";2
"150020 ACARA";2
"150030 AFUA";1
"150050 ALMEIRIM";1
"150060 ALTAMIRA";1
"150070 ANAJAS";2
"150080 ANANINDEUA";17
"150085 ANAPU";2
"150110 BAGRE";1
"150140 BELEM";30
"150145 BELTERRA";1
"150150 BENEVIDES";4
"150180 BREVES";6
"150210 CAMETA";10
"150240 CASTANHAL";1
"150270 CONCEICAO DO ARAGUAIA";9
"150290 CURUCA";1
"150345 IPIXUNA DO PARA";1
"150390 JURUTI";9
"150400 LIMOEIRO DO AJURU";1
"150442 MARITUBA";19
"150470 MOJU";2
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";24
"150530 ORIXIMINA";2
"150550 PARAGOMINAS";1
"150565 PLACAS";2
"150600 PRAINHA";1
"150613 REDENCAO";2
"150619 RUROPOLIS";17
"150635 SANTA BARBARA DO PARA";3
"150650 SANTA IZABEL DO PARA";3
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";30
"150740 SAO FRANCISCO DO PARA";2
"150745 SAO GERALDO DO ARAGUAIA";1
"150805 TRAIRAO";1
"150815 URUARA";49
"160030 MACAPA";25
"160040 MAZAGAO";2
"160050 OIAPOQUE";1
"160060 SANTANA";10
"170030 AGUIARNOPOLIS";21
"170130 ARAGOMINAS";4
"170190 ARAGUACEMA";1
"170200 ARAGUACU";1
"170210 ARAGUAINA";71
"170230 ARAPOEMA";1
"170255 AUGUSTINOPOLIS";2
"170300 BABACULANDIA";1
"170384 CAMPOS LINDOS";3
"170388 CARMOLANDIA";12
"170550 COLINAS DO TOCANTINS";51
"170560 CONCEICAO DO TOCANTINS";2
"170650 DARCINOPOLIS";1
"170930 GUARAI";62
"170950 GURUPI";3
"171110 ITAPORA DO TOCANTINS";2
"171180 JUARINA";8
"171245 LUZINOPOLIS";1
"171320 MIRACEMA DO TOCANTINS";7
"171610 PARAISO DO TOCANTINS";11
"171820 PORTO NACIONAL";73
"171880 SAMPAIO";1
"171886 SANTA FE DO ARAGUAIA";1
