Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2016
"Município de residência";"Todos_os_casos"
" MUNICIPIO IGNORADO - RO";1
"110001 ALTA FLORESTA D'OESTE";45
"110002 ARIQUEMES";56
"110003 CABIXI";2
"110004 CACOAL";57
"110005 CEREJEIRAS";55
"110006 COLORADO DO OESTE";5
"110007 CORUMBIARA";11
"110009 ESPIGAO D'OESTE";22
"110010 GUAJARA-MIRIM";87
"110011 JARU";4
"110012 JI-PARANA";176
"110013 MACHADINHO D'OESTE";4
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";2
"110018 PIMENTA BUENO";17
"110020 PORTO VELHO";789
"110025 PRESIDENTE MEDICI";2
"110026 RIO CRESPO";1
"110028 ROLIM DE MOURA";31
"110029 SANTA LUZIA D'OESTE";5
"110030 VILHENA";403
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";6
"110034 ALVORADA D'OESTE";1
"110037 ALTO ALEGRE DOS PARECIS";2
"110040 ALTO PARAISO";3
"110050 NOVO HORIZONTE DO OESTE";15
"110060 CACAULANDIA";1
"110080 CANDEIAS DO JAMARI";29
"110092 CHUPINGUAIA";19
"110094 CUJUBIM";1
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110110 ITAPUA DO OESTE";6
"110120 MINISTRO ANDREAZZA";6
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";1
"110146 PIMENTEIRAS DO OESTE";5
"110147 PRIMAVERA DE RONDONIA";2
"110149 SAO FRANCISCO DO GUAPORE";1
"110155 TEIXEIROPOLIS";2
"110170 URUPA";2
" MUNICIPIO IGNORADO - AC";1
"120001 ACRELANDIA";4
"120005 ASSIS BRASIL";2
"120010 BRASILEIA";4
"120013 BUJARI";8
"120017 CAPIXABA";3
"120020 CRUZEIRO DO SUL";14
"120025 EPITACIOLANDIA";7
"120030 FEIJO";3
"120034 MANOEL URBANO";2
"120038 PLACIDO DE CASTRO";8
"120040 RIO BRANCO";1382
"120045 SENADOR GUIOMARD";4
"120050 SENA MADUREIRA";13
"120060 TARAUACA";2
"120070 XAPURI";52
"120080 PORTO ACRE";14
"130030 AUTAZES";1
"130040 BARCELOS";1
"130050 BARREIRINHA";1
"130070 BOCA DO ACRE";1
"130080 BORBA";17
"130100 CARAUARI";1
"130110 CAREIRO";2
"130120 COARI";7
"130140 EIRUNEPE";2
"130170 HUMAITA";6
"130185 IRANDUBA";40
"130190 ITACOATIARA";7
"130240 LABREA";1
"130250 MANACAPURU";6
"130255 MANAQUIRI";1
"130260 MANAUS";5910
"130270 MANICORE";1
"130290 MAUES";1
"130320 NOVO AIRAO";9
"130340 PARINTINS";1
"130353 PRESIDENTE FIGUEIREDO";3
"130356 RIO PRETO DA EVA";5
"130395 SAO SEBASTIAO DO UATUMA";1
"130406 TABATINGA";5
"130410 TAPAUA";1
"130420 TEFE";1
"130426 UARINI";1
"140002 AMAJARI";9
"140005 ALTO ALEGRE";5
"140010 BOA VISTA";194
"140015 BONFIM";6
"140017 CANTA";3
"140020 CARACARAI";5
"140023 CAROEBE";24
"140028 IRACEMA";3
"140030 MUCAJAI";43
"140045 PACARAIMA";1
"140047 RORAINOPOLIS";17
"140050 SAO JOAO DA BALIZA";7
"140060 SAO LUIZ";42
"140070 UIRAMUTA";2
"150010 ABAETETUBA";14
"150013 ABEL FIGUEIREDO";15
"150020 ACARA";32
"150030 AFUA";6
"150034 AGUA AZUL DO NORTE";59
"150040 ALENQUER";1
"150060 ALTAMIRA";10
"150070 ANAJAS";4
"150080 ANANINDEUA";422
"150085 ANAPU";1
"150090 AUGUSTO CORREA";3
"150095 AURORA DO PARA";4
"150120 BAIAO";2
"150125 BANNACH";46
"150130 BARCARENA";67
"150140 BELEM";2634
"150150 BENEVIDES";156
"150157 BOM JESUS DO TOCANTINS";15
"150160 BONITO";1
"150170 BRAGANCA";2
"150175 BREJO GRANDE DO ARAGUAIA";1
"150178 BREU BRANCO";16
"150180 BREVES";2
"150190 BUJARU";5
"150195 CACHOEIRA DO PIRIA";6
"150200 CACHOEIRA DO ARARI";1
"150210 CAMETA";9
"150215 CANAA DOS CARAJAS";37
"150220 CAPANEMA";55
"150230 CAPITAO POCO";7
"150240 CASTANHAL";38
"150260 COLARES";1
"150270 CONCEICAO DO ARAGUAIA";104
"150275 CONCORDIA DO PARA";3
"150276 CUMARU DO NORTE";11
"150277 CURIONOPOLIS";65
"150290 CURUCA";1
"150293 DOM ELISEU";265
"150295 ELDORADO DOS CARAJAS";32
"150304 FLORESTA DO ARAGUAIA";3
"150307 GARRAFAO DO NORTE";3
"150309 GOIANESIA DO PARA";1
"150310 GURUPA";1
"150320 IGARAPE-ACU";9
"150330 IGARAPE-MIRI";4
"150340 INHANGAPI";6
"150345 IPIXUNA DO PARA";11
"150350 IRITUIA";18
"150360 ITAITUBA";35
"150370 ITUPIRANGA";25
"150380 JACUNDA";68
"150390 JURUTI";1
"150400 LIMOEIRO DO AJURU";1
"150405 MAE DO RIO";3
"150420 MARABA";112
"150430 MARACANA";8
"150442 MARITUBA";649
"150450 MELGACO";1
"150470 MOJU";7
"150480 MONTE ALEGRE";6
"150490 MUANA";2
"150497 NOVA IPIXUNA";247
"150500 NOVA TIMBOTEUA";1
"150503 NOVO PROGRESSO";9
"150506 NOVO REPARTIMENTO";2
"150510 OBIDOS";2
"150520 OEIRAS DO PARA";2
"150530 ORIXIMINA";7
"150540 OUREM";1
"150543 OURILANDIA DO NORTE";41
"150548 PACAJA";1
"150549 PALESTINA DO PARA";1
"150550 PARAGOMINAS";5
"150553 PARAUAPEBAS";30
"150555 PAU D'ARCO";1
"150560 PEIXE-BOI";1
"150570 PONTA DE PEDRAS";7
"150580 PORTEL";5
"150610 PRIMAVERA";13
"150611 QUATIPURU";1
"150613 REDENCAO";107
"150616 RIO MARIA";204
"150618 RONDON DO PARA";14
"150619 RUROPOLIS";1
"150620 SALINOPOLIS";22
"150630 SALVATERRA";3
"150635 SANTA BARBARA DO PARA";6
"150640 SANTA CRUZ DO ARARI";2
"150650 SANTA IZABEL DO PARA";32
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";65
"150680 SANTAREM";14
"150710 SAO CAETANO DE ODIVELAS";2
"150715 SAO DOMINGOS DO ARAGUAIA";121
"150720 SAO DOMINGOS DO CAPIM";1
"150730 SAO FELIX DO XINGU";10
"150740 SAO FRANCISCO DO PARA";6
"150745 SAO GERALDO DO ARAGUAIA";6
"150746 SAO JOAO DA PONTA";4
"150760 SAO MIGUEL DO GUAMA";4
"150775 SAPUCAIA";170
"150790 SOURE";21
"150795 TAILANDIA";85
"150796 TERRA ALTA";4
"150800 TOME-ACU";19
"150803 TRACUATEUA";3
"150808 TUCUMA";5
"150810 TUCURUI";146
"150812 ULIANOPOLIS";34
"150815 URUARA";4
"150820 VIGIA";25
"150840 XINGUARA";9
"160005 SERRA DO NAVIO";8
"160015 PEDRA BRANCA DO AMAPARI";1
"160020 CALCOENE";1
"160025 ITAUBAL";1
"160027 LARANJAL DO JARI";2
"160030 MACAPA";933
"160040 MAZAGAO";3
"160050 OIAPOQUE";32
"160053 PORTO GRANDE";2
"160060 SANTANA";63
"160070 TARTARUGALZINHO";1
"170025 ABREULANDIA";1
"170030 AGUIARNOPOLIS";38
"170040 ALMAS";4
"170070 ALVORADA";1
"170100 ANANAS";33
"170110 APARECIDA DO RIO NEGRO";23
"170130 ARAGOMINAS";3
"170190 ARAGUACEMA";3
"170200 ARAGUACU";1
"170210 ARAGUAINA";789
"170215 ARAGUANA";4
"170220 ARAGUATINS";92
"170230 ARAPOEMA";30
"170255 AUGUSTINOPOLIS";35
"170300 BABACULANDIA";6
"170305 BANDEIRANTES DO TOCANTINS";2
"170310 BARROLANDIA";24
"170320 BERNARDO SAYAO";2
"170330 BOM JESUS DO TOCANTINS";8
"170360 BRASILANDIA DO TOCANTINS";1
"170380 BURITI DO TOCANTINS";45
"170384 CAMPOS LINDOS";3
"170388 CARMOLANDIA";1
"170389 CARRASCO BONITO";10
"170390 CASEARA";1
"170460 CHAPADA DE AREIA";2
"170550 COLINAS DO TOCANTINS";197
"170555 COMBINADO";1
"170560 CONCEICAO DO TOCANTINS";4
"170600 COUTO MAGALHAES";11
