Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2021
"Município de residência";"Todos_os_casos"
"110002 ARIQUEMES";7
"110003 CABIXI";1
"110004 CACOAL";24
"110005 CEREJEIRAS";4
"110006 COLORADO DO OESTE";16
"110007 CORUMBIARA";1
"110010 GUAJARA-MIRIM";1
"110011 JARU";1
"110012 JI-PARANA";47
"110013 MACHADINHO D'OESTE";2
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";1
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";59
"110025 PRESIDENTE MEDICI";100
"110029 SANTA LUZIA D'OESTE";2
"110030 VILHENA";34
"110032 SAO MIGUEL DO GUAPORE";1
"110037 ALTO ALEGRE DOS PARECIS";1
"110080 CANDEIAS DO JAMARI";2
"110092 CHUPINGUAIA";1
"110140 MONTE NEGRO";2
"110145 PARECIS";80
"110146 PIMENTEIRAS DO OESTE";1
"110147 PRIMAVERA DE RONDONIA";36
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";1
"110180 VALE DO PARAISO";6
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";1
"120013 BUJARI";4
"120020 CRUZEIRO DO SUL";196
"120025 EPITACIOLANDIA";3
"120030 FEIJO";5
"120033 MANCIO LIMA";243
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";3
"120040 RIO BRANCO";90
"120042 RODRIGUES ALVES";20
"120045 SENADOR GUIOMARD";2
"120050 SENA MADUREIRA";5
"120060 TARAUACA";73
"120070 XAPURI";12
"120080 PORTO ACRE";4
"130002 ALVARAES";2
"130020 ATALAIA DO NORTE";1
"130040 BARCELOS";1
"130050 BARREIRINHA";1
"130063 BERURI";10
"130070 BOCA DO ACRE";3
"130080 BORBA";1
"130100 CARAUARI";1
"130115 CAREIRO DA VARZEA";1
"130120 COARI";2
"130130 CODAJAS";1
"130140 EIRUNEPE";4
"130170 HUMAITA";1
"130185 IRANDUBA";7
"130190 ITACOATIARA";9
"130220 JURUA";1
"130230 JUTAI";5
"130240 LABREA";1
"130250 MANACAPURU";5
"130260 MANAUS";175
"130300 NHAMUNDA";1
"130320 NOVO AIRAO";26
"130340 PARINTINS";37
"130353 PRESIDENTE FIGUEIREDO";7
"130356 RIO PRETO DA EVA";1
"130360 SANTA ISABEL DO RIO NEGRO";1
"130380 SAO GABRIEL DA CACHOEIRA";2
"130390 SAO PAULO DE OLIVENCA";1
"130406 TABATINGA";8
"130410 TAPAUA";5
"130420 TEFE";50
"130440 URUCURITUBA";1
"140002 AMAJARI";1
"140005 ALTO ALEGRE";11
"140010 BOA VISTA";88
"140015 BONFIM";1
"140017 CANTA";5
"140020 CARACARAI";2
"140023 CAROEBE";9
"140028 IRACEMA";2
"140030 MUCAJAI";14
"140040 NORMANDIA";1
"140047 RORAINOPOLIS";18
"140050 SAO JOAO DA BALIZA";187
"140060 SAO LUIZ";2
"150010 ABAETETUBA";28
"150060 ALTAMIRA";9
"150080 ANANINDEUA";32
"150120 BAIAO";1
"150130 BARCARENA";28
"150140 BELEM";230
"150150 BENEVIDES";5
"150170 BRAGANCA";6
"150172 BRASIL NOVO";1
"150175 BREJO GRANDE DO ARAGUAIA";1
"150180 BREVES";6
"150210 CAMETA";21
"150215 CANAA DOS CARAJAS";2
"150220 CAPANEMA";15
"150240 CASTANHAL";96
"150270 CONCEICAO DO ARAGUAIA";2
"150275 CONCORDIA DO PARA";1
"150320 IGARAPE-ACU";7
"150330 IGARAPE-MIRI";42
"150340 INHANGAPI";2
"150345 IPIXUNA DO PARA";2
"150360 ITAITUBA";6
"150375 JACAREACANGA";1
"150390 JURUTI";3
"150405 MAE DO RIO";1
"150410 MAGALHAES BARATA";2
"150420 MARABA";4
"150442 MARITUBA";73
"150445 MEDICILANDIA";1
"150460 MOCAJUBA";17
"150470 MOJU";14
"150480 MONTE ALEGRE";2
"150490 MUANA";1
"150503 NOVO PROGRESSO";1
"150506 NOVO REPARTIMENTO";1
"150510 OBIDOS";7
"150543 OURILANDIA DO NORTE";1
"150548 PACAJA";8
"150550 PARAGOMINAS";4
"150553 PARAUAPEBAS";28
"150570 PONTA DE PEDRAS";3
"150600 PRAINHA";1
"150613 REDENCAO";2
"150619 RUROPOLIS";5
"150620 SALINOPOLIS";2
"150630 SALVATERRA";3
"150635 SANTA BARBARA DO PARA";2
"150650 SANTA IZABEL DO PARA";21
"150655 SANTA LUZIA DO PARA";4
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";123
"150700 SANTO ANTONIO DO TAUA";5
"150710 SAO CAETANO DE ODIVELAS";2
"150720 SAO DOMINGOS DO CAPIM";25
"150740 SAO FRANCISCO DO PARA";6
"150745 SAO GERALDO DO ARAGUAIA";2
"150746 SAO JOAO DA PONTA";1
"150747 SAO JOAO DE PIRABAS";1
"150750 SAO JOAO DO ARAGUAIA";1
"150760 SAO MIGUEL DO GUAMA";1
"150780 SENADOR JOSE PORFIRIO";1
"150790 SOURE";1
"150795 TAILANDIA";6
"150796 TERRA ALTA";5
"150800 TOME-ACU";4
"150820 VIGIA";1
"150835 VITORIA DO XINGU";4
"150840 XINGUARA";2
"160015 PEDRA BRANCA DO AMAPARI";5
"160027 LARANJAL DO JARI";6
"160030 MACAPA";99
"160040 MAZAGAO";28
"160050 OIAPOQUE";48
"160060 SANTANA";16
"160070 TARTARUGALZINHO";1
"170030 AGUIARNOPOLIS";11
"170035 ALIANCA DO TOCANTINS";1
"170100 ANANAS";3
"170130 ARAGOMINAS";3
"170200 ARAGUACU";5
"170210 ARAGUAINA";64
"170220 ARAGUATINS";1
"170230 ARAPOEMA";3
"170240 ARRAIAS";5
"170255 AUGUSTINOPOLIS";1
