Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2022
"Município de residência";"Todos_os_casos"
"110002 ARIQUEMES";8
"110004 CACOAL";10
"110005 CEREJEIRAS";14
"110010 GUAJARA-MIRIM";1
"110011 JARU";2
"110012 JI-PARANA";98
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";2
"110015 OURO PRETO DO OESTE";6
"110018 PIMENTA BUENO";1
"110020 PORTO VELHO";40
"110025 PRESIDENTE MEDICI";109
"110028 ROLIM DE MOURA";1
"110030 VILHENA";12
"110034 ALVORADA D'OESTE";3
"110080 CANDEIAS DO JAMARI";1
"110145 PARECIS";3
"110170 URUPA";2
"110175 VALE DO ANARI";1
"120001 ACRELANDIA";1
"120005 ASSIS BRASIL";1
"120010 BRASILEIA";2
"120013 BUJARI";2
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";51
"120030 FEIJO";2
"120032 JORDAO";2
"120033 MANCIO LIMA";1
"120034 MANOEL URBANO";1
"120035 MARECHAL THAUMATURGO";3
"120038 PLACIDO DE CASTRO";1
"120040 RIO BRANCO";22
"120042 RODRIGUES ALVES";1
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";1
"120050 SENA MADUREIRA";1
"120060 TARAUACA";2
"120080 PORTO ACRE";1
" MUNICIPIO IGNORADO - AM";10
"130002 ALVARAES";88
"130006 AMATURA";1
"130020 ATALAIA DO NORTE";1
"130050 BARREIRINHA";2
"130070 BOCA DO ACRE";1
"130080 BORBA";30
"130100 CARAUARI";17
"130110 CAREIRO";1
"130120 COARI";15
"130140 EIRUNEPE";1
"130150 ENVIRA";1
"130165 GUAJARA";3
"130180 IPIXUNA";1
"130185 IRANDUBA";9
"130190 ITACOATIARA";8
"130220 JURUA";2
"130250 MANACAPURU";1
"130260 MANAUS";126
"130270 MANICORE";1
"130280 MARAA";1
"130340 PARINTINS";2
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";19
"130410 TAPAUA";2
"130420 TEFE";22
"130426 UARINI";1
"140002 AMAJARI";7
"140005 ALTO ALEGRE";24
"140010 BOA VISTA";35
"140017 CANTA";1
"140020 CARACARAI";1
"140023 CAROEBE";1
"140030 MUCAJAI";4
"140040 NORMANDIA";1
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";10
"140050 SAO JOAO DA BALIZA";31
"150010 ABAETETUBA";2
"150020 ACARA";8
"150030 AFUA";56
"150060 ALTAMIRA";2
"150080 ANANINDEUA";10
"150095 AURORA DO PARA";2
"150130 BARCARENA";2
"150140 BELEM";47
"150145 BELTERRA";1
