Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Todos os casos por Município de residência
Período:2023
"Município de residência";"Todos_os_casos"
"110001 ALTA FLORESTA D'OESTE";4
"110002 ARIQUEMES";84
"110003 CABIXI";1
"110004 CACOAL";60
"110005 CEREJEIRAS";29
"110009 ESPIGAO D'OESTE";6
"110010 GUAJARA-MIRIM";7
"110012 JI-PARANA";6
"110013 MACHADINHO D'OESTE";1
"110014 NOVA BRASILANDIA D'OESTE";1
"110015 OURO PRETO DO OESTE";6
"110018 PIMENTA BUENO";3
"110020 PORTO VELHO";174
"110025 PRESIDENTE MEDICI";23
"110028 ROLIM DE MOURA";6
"110029 SANTA LUZIA D'OESTE";3
"110030 VILHENA";4
"110032 SAO MIGUEL DO GUAPORE";3
"110033 NOVA MAMORE";1
"110034 ALVORADA D'OESTE";4
"110040 ALTO PARAISO";8
"110050 NOVO HORIZONTE DO OESTE";1
"110060 CACAULANDIA";5
"110070 CAMPO NOVO DE RONDONIA";1
"110080 CANDEIAS DO JAMARI";4
"110092 CHUPINGUAIA";3
"110094 CUJUBIM";2
"110100 GOVERNADOR JORGE TEIXEIRA";1
"110120 MINISTRO ANDREAZZA";1
"110130 MIRANTE DA SERRA";1
"110140 MONTE NEGRO";2
"110143 NOVA UNIAO";1
"110145 PARECIS";21
"110147 PRIMAVERA DE RONDONIA";1
"110148 SAO FELIPE D'OESTE";1
"110149 SAO FRANCISCO DO GUAPORE";2
"110150 SERINGUEIRAS";9
"110155 TEIXEIROPOLIS";1
"110170 URUPA";1
"120001 ACRELANDIA";3
"120005 ASSIS BRASIL";4
"120010 BRASILEIA";4
"120013 BUJARI";10
"120017 CAPIXABA";1
"120020 CRUZEIRO DO SUL";216
"120030 FEIJO";6
"120032 JORDAO";1
"120033 MANCIO LIMA";10
"120034 MANOEL URBANO";42
"120035 MARECHAL THAUMATURGO";4
"120038 PLACIDO DE CASTRO";2
"120039 PORTO WALTER";2
"120040 RIO BRANCO";545
"120042 RODRIGUES ALVES";9
"120043 SANTA ROSA DO PURUS";1
"120045 SENADOR GUIOMARD";7
"120050 SENA MADUREIRA";2
"120060 TARAUACA";14
"120070 XAPURI";3
"120080 PORTO ACRE";12
"130002 ALVARAES";4
"130030 AUTAZES";1
"130070 BOCA DO ACRE";5
"130080 BORBA";67
"130100 CARAUARI";10
"130120 COARI";45
"130165 GUAJARA";2
"130170 HUMAITA";113
"130180 IPIXUNA";27
"130185 IRANDUBA";4
"130190 ITACOATIARA";5
"130220 JURUA";1
"130250 MANACAPURU";1
"130260 MANAUS";71
"130270 MANICORE";1
"130300 NHAMUNDA";1
"130320 NOVO AIRAO";1
"130330 NOVO ARIPUANA";2
"130350 PAUINI";1
"130353 PRESIDENTE FIGUEIREDO";6
"130370 SANTO ANTONIO DO ICA";7
"130406 TABATINGA";1
"130410 TAPAUA";1
"130430 URUCARA";2
"140002 AMAJARI";1
"140005 ALTO ALEGRE";1
"140010 BOA VISTA";36
"140015 BONFIM";7
"140017 CANTA";56
"140020 CARACARAI";20
"140023 CAROEBE";24
"140028 IRACEMA";16
"140030 MUCAJAI";75
"140040 NORMANDIA";2
"140045 PACARAIMA";2
"140047 RORAINOPOLIS";53
"140050 SAO JOAO DA BALIZA";8
"150010 ABAETETUBA";1
"150020 ACARA";23
"150030 AFUA";4
"150060 ALTAMIRA";6
"150080 ANANINDEUA";15
"150090 AUGUSTO CORREA";1
"150130 BARCARENA";1
"150140 BELEM";43
"150150 BENEVIDES";2
"150190 BUJARU";1
"150210 CAMETA";50
"150220 CAPANEMA";1
"150230 CAPITAO POCO";6
"150240 CASTANHAL";60
"150270 CONCEICAO DO ARAGUAIA";14
"150290 CURUCA";3
"150293 DOM ELISEU";1
"150345 IPIXUNA DO PARA";1
"150350 IRITUIA";4
"150380 JACUNDA";1
"150400 LIMOEIRO DO AJURU";2
"150405 MAE DO RIO";2
"150420 MARABA";6
"150442 MARITUBA";61
"150460 MOCAJUBA";2
"150475 MOJUI DOS CAMPOS";2
"150480 MONTE ALEGRE";2
"150495 NOVA ESPERANCA DO PIRIA";2
"150497 NOVA IPIXUNA";1
"150520 OEIRAS DO PARA";1
"150530 ORIXIMINA";3
"150540 OUREM";1
"150550 PARAGOMINAS";7
"150553 PARAUAPEBAS";1
"150563 PICARRA";2
"150613 REDENCAO";9
"150619 RUROPOLIS";8
"150650 SANTA IZABEL DO PARA";61
"150660 SANTA MARIA DO PARA";1
"150670 SANTANA DO ARAGUAIA";1
"150680 SANTAREM";43
"150740 SAO FRANCISCO DO PARA";2
"150745 SAO GERALDO DO ARAGUAIA";1
"150808 TUCUMA";2
"150810 TUCURUI";1
"150830 VISEU";1
"150840 XINGUARA";3
"160015 PEDRA BRANCA DO AMAPARI";1
"160020 CALCOENE";1
"160030 MACAPA";45
"160040 MAZAGAO";1
"160050 OIAPOQUE";1
"160060 SANTANA";24
"170025 ABREULANDIA";2
"170030 AGUIARNOPOLIS";61
"170035 ALIANCA DO TOCANTINS";25
"170110 APARECIDA DO RIO NEGRO";1
"170190 ARAGUACEMA";1
"170210 ARAGUAINA";114
"170220 ARAGUATINS";1
"170230 ARAPOEMA";4
"170240 ARRAIAS";2
"170255 AUGUSTINOPOLIS";4
"170290 AXIXA DO TOCANTINS";1
"170300 BABACULANDIA";2
"170307 BARRA DO OURO";1
"170310 BARROLANDIA";107
"170320 BERNARDO SAYAO";1
"170386 CARIRI DO TOCANTINS";2
"170388 CARMOLANDIA";5
"170390 CASEARA";2
"170410 CENTENARIO";10
"170510 CHAPADA DA NATIVIDADE";1
"170550 COLINAS DO TOCANTINS";43
"170560 CONCEICAO DO TOCANTINS";4
"170610 CRISTALANDIA";1
"170700 DIANOPOLIS";1
"170710 DIVINOPOLIS DO TOCANTINS";15
"170720 DOIS IRMAOS DO TOCANTINS";1
"170755 FATIMA";9
"170820 FORMOSO DO ARAGUAIA";1
"170825 FORTALEZA DO TABOCAO";1
"170900 GOIATINS";2
"170930 GUARAI";70
"170950 GURUPI";77
"171190 LAGOA DA CONFUSAO";1
"171195 LAGOA DO TOCANTINS";2
"171200 LAJEADO";1
"171240 LIZARDA";1
"171270 MATEIROS";1
"171320 MIRACEMA DO TOCANTINS";6
"171330 MIRANORTE";1
"171360 MONTE DO CARMO";2
"171380 PALMEIRAS DO TOCANTINS";1
"171488 NOVA OLINDA";2
"171515 NOVO ALEGRE";14
"171610 PARAISO DO TOCANTINS";901
"171660 PEIXE";1
"171670 COLMEIA";2
"171820 PORTO NACIONAL";78
"171840 PRESIDENTE KENNEDY";1
"171850 RECURSOLANDIA";1
"171880 SAMPAIO";2
"171886 SANTA FE DO ARAGUAIA";2
"171889 SANTA RITA DO TOCANTINS";34
"171890 SANTA ROSA DO TOCANTINS";2
"171900 SANTA TEREZA DO TOCANTINS";1
"172065 SILVANOPOLIS";1
"172085 SUCUPIRA";12
"172090 TAGUATINGA";6
"172100 PALMAS";1406
"172110 TOCANTINIA";5
"172120 TOCANTINOPOLIS";5
"172130 TUPIRATINS";1
"172208 WANDERLANDIA";11
"172210 XAMBIOA";3
"210005 ACAILANDIA";5
"210047 ALTO ALEGRE DO PINDARE";4
"210070 ANAJATUBA";1
"210083 APICUM-ACU";1
"210095 ARAME";1
"210100 ARARI";85
"210110 AXIXA";1
"210120 BACABAL";2
"210125 BACABEIRA";3
"210140 BALSAS";9
"210160 BARRA DO CORDA";2
"210170 BARREIRINHAS";3
"210173 BELAGUA";1
"210190 BEQUIMAO";2
"210203 BOM JESUS DAS SELVAS";1
"210240 CAJAPIO";1
"210260 CANDIDO MENDES";1
"210290 CARUTAPERA";1
"210300 CAXIAS";524
"210317 CENTRO NOVO DO MARANHAO";1
"210320 CHAPADINHA";1
"210325 CIDELANDIA";1
"210330 CODO";2
"210355 CONCEICAO DO LAGO-ACU";1
"210360 COROATA";1
"210390 DUQUE BACELAR";1
"210400 ESPERANTINOPOLIS";1
"210405 ESTREITO";1
"210410 FORTALEZA DOS NOGUEIRAS";1
"210420 FORTUNA";1
"210430 GODOFREDO VIANA";1
"210440 GONCALVES DIAS";1
"210455 GOVERNADOR EDISON LOBAO";2
"210480 GRAJAU";1
"210500 HUMBERTO DE CAMPOS";1
"210510 ICATU";3
"210515 IGARAPE DO MEIO";1
"210530 IMPERATRIZ";183
"210540 ITAPECURU MIRIM";3
"210660 MATOES";3
"210663 MATOES DO NORTE";2
"210675 MIRANDA DO NORTE";1
"210720 NINA RODRIGUES";2
"210730 NOVA IORQUE";1
"210750 PACO DO LUMIAR";27
"210760 PALMEIRANDIA";1
"210820 PEDREIRAS";21
"210825 PEDRO DO ROSARIO";1
"210845 PERITORO";1
"210860 PINHEIRO";3
"210900 PORTO FRANCO";1
"210920 PRESIDENTE JUSCELINO";1
"210945 RAPOSA";2
"210960 ROSARIO";3
"210990 SANTA INES";37
"211000 SANTA LUZIA";1
"211010 SANTA QUITERIA DO MARANHAO";1
"211020 SANTA RITA";1
"211027 SANTO AMARO DO MARANHAO";1
"211040 SAO BENEDITO DO RIO PRETO";2
"211050 SAO BENTO";1
"211060 SAO BERNARDO";1
"211085 SAO FRANCISCO DO BREJAO";1
"211090 SAO FRANCISCO DO MARANHAO";1
"211102 SAO JOAO DO CARU";1
"211107 SAO JOAO DO SOTER";2
"211120 SAO JOSE DE RIBAMAR";271
"211130 SAO LUIS";591
"211172 SATUBINHA";2
"211200 TASSO FRAGOSO";1
